Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_comb_no_index_select_column_prefix,5.00,1.00,475.73,1649.91,475.93,1172.98,1.00,3389.13,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,5.00,1.00,544.90,1719.08,545.10,1172.98,1.00,3388.85,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,5.00,1.00,542.51,1716.69,542.71,1172.98,1.00,3388.88,0.00,0.00
query_differences_comb_no_index_select_full_match,5.00,1.00,575.90,1750.08,576.10,1172.98,1.00,3388.75,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,5.00,1.00,520.11,1694.29,520.31,1172.98,1.00,3388.95,0.00,0.00
query_differences_comb_no_index_select_not_leftmost,5.00,1.00,315.75,1489.93,315.95,1172.98,1.00,3390.42,0.00,0.00
query_differences_comb_no_index_select_range_values,5.00,1.00,375.54,1549.72,375.74,1172.98,1.00,3389.80,0.00,0.00
query_differences_comb_no_index_select_range_with_like,5.00,1.00,540.92,1715.10,541.12,1172.98,1.00,3388.88,0.00,0.00
query_differences_comb_no_index_select_skip_columns,5.00,1.00,521.31,1695.49,521.51,1172.98,1.00,3388.95,0.00,0.00
query_differences_comb_no_index_select_column_prefix,10.00,1.00,479.82,1665.73,479.62,1185.71,0.40,3389.13,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,10.00,1.00,549.05,1734.96,548.85,1185.71,0.40,3388.85,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,10.00,1.00,542.84,1728.75,542.64,1185.71,0.40,3388.85,0.00,0.00
query_differences_comb_no_index_select_full_match,10.00,1.00,574.84,1760.75,574.64,1185.71,0.40,3388.75,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,10.00,1.00,519.64,1705.55,519.44,1185.71,0.40,3388.95,0.00,0.00
query_differences_comb_no_index_select_not_leftmost,10.00,1.00,317.62,1503.53,317.42,1185.71,0.40,3390.35,0.00,0.00
query_differences_comb_no_index_select_range_values,10.00,1.00,377.82,1563.73,377.62,1185.71,0.40,3389.75,0.00,0.00
query_differences_comb_no_index_select_range_with_like,10.00,1.00,540.62,1726.53,540.42,1185.71,0.40,3388.88,0.00,0.00
query_differences_comb_no_index_select_skip_columns,10.00,1.00,521.24,1707.15,521.04,1185.71,0.40,3388.95,0.00,0.00
query_differences_comb_no_index_select_column_prefix,15.00,1.00,479.61,1678.61,479.21,1198.60,0.80,3389.10,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,15.00,1.00,549.20,1748.20,548.80,1198.60,0.80,3388.85,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,15.00,1.00,542.20,1741.20,541.80,1198.60,0.80,3388.85,0.00,0.00
query_differences_comb_no_index_select_full_match,15.00,1.00,575.39,1774.39,574.99,1198.60,0.80,3388.75,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,15.00,1.00,522.21,1721.21,521.81,1198.60,0.80,3388.95,0.00,0.00
