Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_select_column_prefix,5.00,1.00,895.66,1828.88,895.86,932.02,1.00,4281.48,0.00,0.00
query_differences_select_combined_match_with_range,5.00,1.00,3709.46,4642.68,3709.66,932.02,1.00,4280.62,0.00,0.00
query_differences_select_exact_with_prefix,5.00,1.00,2712.57,3645.79,2712.77,932.02,1.00,4280.72,0.00,0.00
query_differences_select_full_match,5.00,1.00,4238.79,5172.01,4238.99,932.02,1.00,4280.59,0.00,0.00
query_differences_select_leftmost_prefix,5.00,1.00,1633.54,2566.76,1633.74,932.02,1.00,4280.96,0.00,0.00
query_differences_select_not_leftmost,5.00,1.00,321.74,1254.96,321.94,932.02,1.00,4283.68,0.00,0.00
query_differences_select_range_values,5.00,1.00,377.34,1310.56,377.54,932.02,1.00,4283.13,0.00,0.00
query_differences_select_range_with_like,5.00,1.00,3138.74,4071.96,3138.94,932.02,1.00,4280.67,0.00,0.00
query_differences_select_skip_columns,5.00,1.00,1965.50,2898.72,1965.70,932.02,1.00,4280.86,0.00,0.00
query_differences_select_column_prefix,10.00,1.00,908.25,1856.73,908.05,948.28,0.40,4205.07,0.00,0.00
query_differences_select_combined_match_with_range,10.00,1.00,3683.12,4631.60,3682.92,948.28,0.40,4204.23,0.00,0.00
query_differences_select_exact_with_prefix,10.00,1.00,2728.76,3677.24,2728.56,948.28,0.40,4204.33,0.00,0.00
query_differences_select_full_match,10.00,1.00,4223.61,5172.09,4223.41,948.28,0.40,4204.20,0.00,0.00
query_differences_select_leftmost_prefix,10.00,1.00,1634.06,2582.54,1633.86,948.28,0.40,4204.57,0.00,0.00
query_differences_select_not_leftmost,10.00,1.00,324.22,1272.70,324.02,948.28,0.40,4207.29,0.00,0.00
query_differences_select_range_values,10.00,1.00,376.42,1324.90,376.22,948.28,0.40,4206.74,0.00,0.00
query_differences_select_range_with_like,10.00,1.00,3128.36,4076.84,3128.16,948.28,0.40,4204.28,0.00,0.00
query_differences_select_skip_columns,10.00,1.00,1962.50,2910.98,1962.30,948.28,0.40,4204.47,0.00,0.00
query_differences_select_column_prefix,15.00,1.00,898.00,1786.20,897.80,888.00,0.40,4359.25,0.00,0.00
query_differences_select_combined_match_with_range,15.00,1.00,3706.24,4594.44,3706.04,888.00,0.40,4358.39,0.00,0.00
query_differences_select_exact_with_prefix,15.00,1.00,2715.81,3604.01,2715.61,888.00,0.40,4358.49,0.00,0.00
query_differences_select_full_match,15.00,1.00,4194.00,5082.20,4193.80,888.00,0.40,4358.36,0.00,0.00
query_differences_select_leftmost_prefix,15.00,1.00,1625.40,2513.60,1625.20,888.00,0.40,4358.74,0.00,0.00
query_differences_select_not_leftmost,15.00,1.00,323.20,1211.40,323.00,888.00,0.40,4361.45,0.00,0.00
query_differences_select_range_values,15.00,1.00,377.80,1266.00,377.60,888.00,0.40,4360.90,0.00,0.00
query_differences_select_range_with_like,15.00,1.00,3139.99,4028.19,3139.79,888.00,0.40,4358.44,0.00,0.00
query_differences_select_skip_columns,15.00,1.00,1974.58,2862.78,1974.38,888.00,0.40,4358.63,0.00,0.00
query_differences_select_column_prefix,20.00,1.00,897.81,1846.60,897.61,948.59,0.40,4438.43,0.00,0.00
query_differences_select_combined_match_with_range,20.00,1.00,3720.92,4669.71,3720.72,948.59,0.40,4437.57,0.00,0.00
query_differences_select_exact_with_prefix,20.00,1.00,2739.76,3688.55,2739.56,948.59,0.40,4437.66,0.00,0.00
query_differences_select_full_match,20.00,1.00,4194.81,5143.60,4194.61,948.59,0.40,4437.54,0.00,0.00
query_differences_select_leftmost_prefix,20.00,1.00,1633.02,2581.81,1632.82,948.59,0.40,4437.91,0.00,0.00
query_differences_select_not_leftmost,20.00,1.00,325.00,1273.79,324.80,948.59,0.40,4440.63,0.00,0.00
query_differences_select_range_values,20.00,1.00,380.81,1329.60,380.61,948.59,0.40,4440.03,0.00,0.00
query_differences_select_range_with_like,20.00,1.00,3149.60,4098.39,3149.40,948.59,0.40,4437.62,0.00,0.00
query_differences_select_skip_columns,20.00,1.00,1973.01,2921.80,1972.81,948.59,0.40,4437.81,0.00,0.00
query_differences_select_column_prefix,25.00,1.00,906.59,1837.00,906.39,930.21,0.40,4205.07,0.00,0.00
query_differences_select_combined_match_with_range,25.00,1.00,3718.60,4649.01,3718.40,930.21,0.40,4204.23,0.00,0.00
query_differences_select_exact_with_prefix,25.00,1.00,2739.81,3670.22,2739.61,930.21,0.40,4204.32,0.00,0.00
query_differences_select_full_match,25.00,1.00,4233.59,5164.00,4233.39,930.21,0.40,4204.20,0.00,0.00
query_differences_select_leftmost_prefix,25.00,1.00,1632.60,2563.01,1632.40,930.21,0.40,4204.57,0.00,0.00
query_differences_select_not_leftmost,25.00,1.00,321.00,1251.41,320.80,930.21,0.40,4207.29,0.00,0.00
query_differences_select_range_values,25.00,1.00,378.79,1309.20,378.59,930.21,0.40,4206.74,0.00,0.00
query_differences_select_range_with_like,25.00,1.00,3149.32,4079.73,3149.12,930.21,0.40,4204.28,0.00,0.00
query_differences_select_skip_columns,25.00,1.00,1973.76,2904.17,1973.56,930.21,0.40,4204.47,0.00,0.00
query_differences_select_column_prefix,30.00,1.00,907.60,1824.60,907.40,916.80,0.40,4359.23,0.00,0.00
query_differences_select_combined_match_with_range,30.00,1.00,3734.41,4651.41,3734.21,916.80,0.40,4358.39,0.00,0.00
query_differences_select_exact_with_prefix,30.00,1.00,2713.62,3630.62,2713.42,916.80,0.40,4358.49,0.00,0.00
