Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
hash_partitioning_comb_partitions_size_5_select,5.00,1.00,241.16,1285.94,241.56,1043.58,0.80,4.41,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,10.00,1.00,238.41,1286.71,238.21,1048.10,0.40,7091.12,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,15.00,1.00,240.40,1295.40,240.20,1054.80,0.40,7091.12,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,20.00,1.00,241.80,1282.20,241.80,1040.40,0.00,4.41,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,25.00,1.00,243.00,1287.20,242.80,1044.00,0.40,7219.80,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,30.00,1.00,243.80,1282.40,243.60,1038.40,0.40,7219.80,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,35.00,1.00,232.20,1293.20,232.20,1061.00,0.00,4.91,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,40.00,1.00,242.00,1279.61,241.80,1037.41,0.40,7091.04,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,45.00,1.00,242.20,1272.19,242.00,1029.79,0.40,7219.80,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,50.00,1.00,242.60,1297.62,242.60,1055.02,0.00,4.41,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,55.00,1.00,241.40,1291.99,241.20,1050.39,0.40,7219.80,0.00,0.00
hash_partitioning_comb_partitions_size_5_select,60.00,1.00,244.21,1274.21,244.01,1029.80,0.40,7091.04,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,5.00,1.00,224.76,1256.76,225.16,1030.80,0.80,4.74,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,10.00,1.00,224.81,1268.71,224.61,1043.70,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,15.00,1.00,227.00,1265.60,226.80,1038.40,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,20.00,1.00,224.40,1276.60,224.40,1052.20,0.00,4.74,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,25.00,1.00,226.40,1266.80,226.20,1040.20,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,30.00,1.00,224.40,1268.60,224.20,1044.00,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,35.00,1.00,218.39,1258.19,218.39,1039.80,0.00,4.91,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,40.00,1.00,224.80,1278.21,224.60,1053.21,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,45.00,1.00,223.61,1257.41,223.41,1033.60,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,50.00,1.00,223.80,1272.20,223.80,1048.40,0.00,4.91,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,55.00,1.00,225.20,1261.40,225.00,1036.00,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_50_select,60.00,1.00,224.60,1262.00,224.40,1037.20,0.40,7220.13,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,5.00,1.00,198.76,1246.15,199.16,1046.19,0.80,5.28,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,10.00,1.00,199.41,1237.30,199.21,1037.69,0.40,7220.67,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,15.00,1.00,198.60,1232.60,198.40,1033.80,0.40,7220.67,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,20.00,1.00,199.40,1228.99,199.40,1029.59,0.00,5.28,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,25.00,1.00,199.39,1225.59,199.19,1026.00,0.40,7351.77,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,30.00,1.00,199.60,1217.20,199.40,1017.40,0.40,7351.77,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,35.00,1.00,198.80,1231.61,198.80,1032.81,0.00,5.28,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,40.00,1.00,201.00,1233.59,200.80,1032.39,0.40,7351.77,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,45.00,1.00,199.80,1229.20,199.60,1029.20,0.40,7220.67,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,50.00,1.00,199.80,1254.40,199.80,1054.60,0.00,5.28,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,55.00,1.00,200.40,1229.80,200.20,1029.20,0.40,7220.67,0.00,0.00
hash_partitioning_comb_partitions_size_500_select,60.00,1.00,200.61,1231.61,200.41,1030.80,0.40,7351.77,0.00,0.00
without_partitioning_select_without_hash_pruning_range,5.00,1.00,251.76,1333.34,252.16,1080.38,0.80,4.25,0.00,0.00
without_partitioning_select_without_hash_pruning_range,10.00,1.00,251.81,1334.92,251.61,1082.91,0.40,6964.42,0.00,0.00
without_partitioning_select_without_hash_pruning_range,15.00,1.00,253.80,1347.00,253.60,1093.00,0.40,6840.14,0.00,0.00
without_partitioning_select_without_hash_pruning_range,20.00,1.00,253.20,1330.59,253.20,1077.39,0.00,4.25,0.00,0.00
without_partitioning_select_without_hash_pruning_range,25.00,1.00,253.80,1323.01,253.60,1069.01,0.40,6964.35,0.00,0.00
without_partitioning_select_without_hash_pruning_range,30.00,1.00,253.80,1299.19,253.60,1045.19,0.40,7090.88,0.00,0.00
without_partitioning_select_without_hash_pruning_range,35.00,1.00,255.40,1320.20,255.20,1064.60,0.40,7090.81,0.00,0.00
without_partitioning_select_without_hash_pruning_range,40.00,1.00,255.80,1333.39,255.80,1077.59,0.00,4.18,0.00,0.00
without_partitioning_select_without_hash_pruning_range,45.00,1.00,250.80,1292.40,250.60,1041.40,0.40,6964.66,0.00,0.00
without_partitioning_select_without_hash_pruning_range,50.00,1.00,256.60,1319.21,256.40,1062.41,0.40,7219.57,0.00,0.00
without_partitioning_select_without_hash_pruning_range,55.00,1.00,254.40,1320.40,254.40,1066.00,0.00,4.18,0.00,0.00
without_partitioning_select_without_hash_pruning_range,60.00,1.00,255.00,1090.00,254.80,834.80,0.40,7090.81,0.00,0.00
