Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_comb_no_index_select_combined_match_with_range,5.00,1.00,1327.80,2673.34,1327.80,1344.14,1.40,2239.37,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,5.00,1.00,1144.63,2490.17,1144.63,1344.14,1.40,2239.53,0.00,0.00
query_differences_comb_no_index_select_full_match,5.00,1.00,1522.38,2867.92,1522.38,1344.14,1.40,2239.25,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,5.00,1.00,1206.22,2551.76,1206.22,1344.14,1.40,2239.50,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,10.00,1.00,1358.47,2674.39,1358.07,1315.52,0.80,2280.04,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,10.00,1.00,1306.22,2622.14,1305.82,1315.52,0.80,2280.08,0.00,0.00
query_differences_comb_no_index_select_full_match,10.00,1.00,1535.28,2851.20,1534.88,1315.52,0.80,2279.95,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,10.00,1.00,1201.42,2517.34,1201.02,1315.52,0.80,2280.13,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,15.00,1.00,1236.18,2578.56,1235.78,1341.98,0.80,2321.54,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,15.00,1.00,1388.19,2730.57,1387.79,1341.98,0.80,2321.45,0.00,0.00
query_differences_comb_no_index_select_full_match,15.00,1.00,1453.60,2795.98,1453.20,1341.98,0.80,2321.47,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,15.00,1.00,1278.78,2621.16,1278.38,1341.98,0.80,2321.49,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,20.00,1.00,1332.41,2665.03,1332.01,1332.22,0.80,2280.04,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,20.00,1.00,1406.81,2739.43,1406.41,1332.22,0.80,2280.00,0.00,0.00
query_differences_comb_no_index_select_full_match,20.00,1.00,1461.20,2793.82,1460.80,1332.22,0.80,2280.01,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,20.00,1.00,1295.66,2628.28,1295.26,1332.22,0.80,2280.08,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,25.00,1.00,1244.40,2525.19,1243.80,1280.19,1.20,2450.31,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,25.00,1.00,1332.01,2612.80,1331.41,1280.19,1.20,2450.25,0.00,0.00
query_differences_comb_no_index_select_full_match,25.00,1.00,1416.00,2696.79,1415.40,1280.19,1.20,2450.28,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,25.00,1.00,1164.76,2445.55,1164.16,1280.19,1.20,2450.40,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,30.00,1.00,1214.01,2570.20,1213.61,1355.79,0.80,2280.13,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,30.00,1.00,1263.20,2619.39,1262.80,1355.79,0.80,2280.13,0.00,0.00
query_differences_comb_no_index_select_full_match,30.00,1.00,1474.00,2830.19,1473.60,1355.79,0.80,2279.97,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,30.00,1.00,1072.42,2428.61,1072.02,1355.79,0.80,2280.22,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,35.00,1.00,1231.00,2522.19,1230.60,1290.79,0.80,2363.73,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,35.00,1.00,1301.60,2592.79,1301.20,1290.79,0.80,2363.66,0.00,0.00
query_differences_comb_no_index_select_full_match,35.00,1.00,1507.40,2798.59,1507.00,1290.79,0.80,2363.55,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,35.00,1.00,1060.60,2351.79,1060.20,1290.79,0.80,2363.86,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,40.00,1.00,1339.19,2680.01,1338.79,1340.42,0.80,2280.06,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,40.00,1.00,1287.80,2628.62,1287.40,1340.42,0.80,2280.09,0.00,0.00
query_differences_comb_no_index_select_full_match,40.00,1.00,1587.00,2927.82,1586.60,1340.42,0.80,2279.94,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,40.00,1.00,1138.61,2479.43,1138.21,1340.42,0.80,2280.18,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,45.00,1.00,1290.20,2593.40,1289.80,1302.80,0.80,2450.28,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,45.00,1.00,1295.04,2598.24,1294.64,1302.80,0.80,2450.33,0.00,0.00
query_differences_comb_no_index_select_full_match,45.00,1.00,1708.40,3011.60,1708.00,1302.80,0.80,2450.03,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,45.00,1.00,1130.79,2433.99,1130.39,1302.80,0.80,2450.42,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,50.00,1.00,1386.35,2874.56,1385.75,1487.61,1.20,2083.77,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,50.00,1.00,1183.60,2671.81,1183.00,1487.61,1.20,2083.94,0.00,0.00
query_differences_comb_no_index_select_full_match,50.00,1.00,1718.79,3207.00,1718.19,1487.61,1.20,2083.58,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,50.00,1.00,1148.60,2636.81,1148.00,1487.61,1.20,2083.95,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,55.00,1.00,1321.05,2807.86,1320.65,1486.41,0.80,2363.66,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,55.00,1.00,1202.20,2689.01,1201.80,1486.41,0.80,2363.71,0.00,0.00
query_differences_comb_no_index_select_full_match,55.00,1.00,1567.61,3054.42,1567.21,1486.41,0.80,2363.53,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,55.00,1.00,1137.20,2624.01,1136.80,1486.41,0.80,2363.80,0.00,0.00
query_differences_comb_no_index_select_combined_match_with_range,60.00,1.00,1271.19,2715.59,1270.59,1443.80,1.20,2239.48,0.00,0.00
query_differences_comb_no_index_select_exact_with_prefix,60.00,1.00,1197.37,2641.77,1196.77,1443.80,1.20,2239.46,0.00,0.00
query_differences_comb_no_index_select_full_match,60.00,1.00,1480.61,2925.01,1480.01,1443.80,1.20,2239.33,0.00,0.00
query_differences_comb_no_index_select_leftmost_prefix,60.00,1.00,1098.60,2543.00,1098.00,1443.80,1.20,2239.57,0.00,0.00
