Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_select_combined_match_with_range,5.00,1.00,1478.30,3187.00,1478.30,1707.30,1.40,1772.03,0.00,0.00
query_differences_select_exact_with_prefix,5.00,1.00,1452.60,3161.30,1452.60,1707.30,1.40,1772.03,0.00,0.00
query_differences_select_full_match,5.00,1.00,4537.67,6246.37,4537.67,1707.30,1.40,1771.54,0.00,0.00
query_differences_select_leftmost_prefix,5.00,1.00,1432.71,3141.41,1432.71,1707.30,1.40,1772.03,0.00,0.00
query_differences_select_combined_match_with_range,10.00,1.00,1484.17,3139.90,1483.57,1655.13,1.20,1836.98,0.00,0.00
query_differences_select_exact_with_prefix,10.00,1.00,1457.66,3113.39,1457.06,1655.13,1.20,1836.98,0.00,0.00
query_differences_select_full_match,10.00,1.00,4500.57,6156.30,4499.97,1655.13,1.20,1836.49,0.00,0.00
query_differences_select_leftmost_prefix,10.00,1.00,1418.29,3074.02,1417.69,1655.13,1.20,1836.99,0.00,0.00
query_differences_select_combined_match_with_range,15.00,1.00,1477.40,3080.38,1476.80,1602.38,1.20,1904.31,0.00,0.00
query_differences_select_exact_with_prefix,15.00,1.00,1458.76,3061.74,1458.16,1602.38,1.20,1904.30,0.00,0.00
query_differences_select_full_match,15.00,1.00,4509.20,6112.18,4508.60,1602.38,1.20,1903.82,0.00,0.00
query_differences_select_leftmost_prefix,15.00,1.00,1439.42,3042.40,1438.82,1602.38,1.20,1904.31,0.00,0.00
query_differences_select_combined_match_with_range,20.00,1.00,1495.80,3189.00,1495.20,1692.60,1.20,1870.33,0.00,0.00
query_differences_select_exact_with_prefix,20.00,1.00,1458.98,3152.18,1458.38,1692.60,1.20,1870.34,0.00,0.00
query_differences_select_full_match,20.00,1.00,4576.08,6269.28,4575.48,1692.60,1.20,1869.85,0.00,0.00
query_differences_select_leftmost_prefix,20.00,1.00,1432.85,3126.05,1432.25,1692.60,1.20,1870.34,0.00,0.00
query_differences_select_combined_match_with_range,25.00,1.00,1509.60,3230.41,1509.20,1720.41,0.80,1772.01,0.00,0.00
query_differences_select_exact_with_prefix,25.00,1.00,1459.67,3180.48,1459.27,1720.41,0.80,1772.03,0.00,0.00
query_differences_select_full_match,25.00,1.00,4536.41,6257.22,4536.01,1720.41,0.80,1771.54,0.00,0.00
query_differences_select_leftmost_prefix,25.00,1.00,1427.20,3148.01,1426.80,1720.41,0.80,1772.03,0.00,0.00
query_differences_select_combined_match_with_range,30.00,1.00,1502.39,3141.59,1501.79,1638.60,1.20,1870.32,0.00,0.00
query_differences_select_exact_with_prefix,30.00,1.00,1461.77,3100.97,1461.17,1638.60,1.20,1870.34,0.00,0.00
query_differences_select_full_match,30.00,1.00,4601.01,6240.21,4600.41,1638.60,1.20,1869.85,0.00,0.00
query_differences_select_leftmost_prefix,30.00,1.00,1434.57,3073.77,1433.97,1638.60,1.20,1870.34,0.00,0.00
query_differences_select_combined_match_with_range,35.00,1.00,1535.41,3185.21,1534.81,1649.20,1.20,1836.93,0.00,0.00
query_differences_select_exact_with_prefix,35.00,1.00,1451.78,3101.58,1451.18,1649.20,1.20,1836.98,0.00,0.00
query_differences_select_full_match,35.00,1.00,4597.37,6247.17,4596.77,1649.20,1.20,1836.48,0.00,0.00
query_differences_select_leftmost_prefix,35.00,1.00,1423.83,3073.63,1423.23,1649.20,1.20,1836.99,0.00,0.00
query_differences_select_combined_match_with_range,40.00,1.00,1539.00,3129.01,1538.40,1589.41,1.20,1904.26,0.00,0.00
query_differences_select_exact_with_prefix,40.00,1.00,1454.04,3044.05,1453.44,1589.41,1.20,1904.32,0.00,0.00
query_differences_select_full_match,40.00,1.00,4606.98,6196.99,4606.38,1589.41,1.20,1903.81,0.00,0.00
query_differences_select_leftmost_prefix,40.00,1.00,1424.75,3014.76,1424.15,1589.41,1.20,1904.31,0.00,0.00
query_differences_select_combined_match_with_range,45.00,1.00,1532.39,3146.98,1531.99,1614.19,0.80,1938.86,0.00,0.00
query_differences_select_exact_with_prefix,45.00,1.00,1418.60,3033.19,1418.20,1614.19,0.80,1938.96,0.00,0.00
query_differences_select_full_match,45.00,1.00,4568.63,6183.22,4568.23,1614.19,0.80,1938.41,0.00,0.00
query_differences_select_leftmost_prefix,45.00,1.00,1397.79,3012.38,1397.39,1614.19,0.80,1938.94,0.00,0.00
query_differences_select_combined_match_with_range,50.00,1.00,1534.75,3196.55,1534.15,1661.20,1.20,1836.94,0.00,0.00
query_differences_select_exact_with_prefix,50.00,1.00,1467.00,3128.80,1466.40,1661.20,1.20,1836.98,0.00,0.00
query_differences_select_full_match,50.00,1.00,4537.01,6198.81,4536.41,1661.20,1.20,1836.49,0.00,0.00
query_differences_select_leftmost_prefix,50.00,1.00,1423.66,3085.46,1423.06,1661.20,1.20,1836.98,0.00,0.00
query_differences_select_combined_match_with_range,55.00,1.00,1521.66,3150.48,1521.06,1628.22,1.20,1904.27,0.00,0.00
query_differences_select_exact_with_prefix,55.00,1.00,1456.21,3085.03,1455.61,1628.22,1.20,1904.31,0.00,0.00
query_differences_select_full_match,55.00,1.00,4504.21,6133.03,4503.61,1628.22,1.20,1903.82,0.00,0.00
