Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_comb_prob_1_select,5.00,1.00,4763.25,6262.57,4761.65,1496.72,4.20,569.91,0.00,0.00
selectivity_changes_comb_prob_1_select,10.00,1.00,4783.56,6215.88,4781.76,1430.52,3.60,612.45,0.00,0.00
selectivity_changes_comb_prob_1_select,15.00,1.00,4768.07,6274.87,4766.27,1505.00,3.60,612.45,0.00,0.00
selectivity_changes_comb_prob_1_select,20.00,1.00,4786.14,6223.34,4784.34,1435.40,3.60,612.45,0.00,0.00
selectivity_changes_comb_prob_1_select,25.00,1.00,4765.80,6247.79,4764.00,1480.19,3.60,623.57,0.00,0.00
selectivity_changes_comb_prob_1_select,30.00,1.00,4780.79,6345.59,4778.79,1562.80,4.00,559.74,0.00,0.00
selectivity_changes_comb_prob_1_select,35.00,1.00,4762.68,6396.07,4760.68,1631.39,4.00,502.44,0.00,0.00
selectivity_changes_comb_prob_1_select,40.00,1.00,4765.83,6461.04,4763.63,1693.01,4.40,484.68,0.00,0.00
selectivity_changes_comb_prob_1_select,45.00,1.00,4771.80,6428.20,4769.80,1654.40,4.00,530.32,0.00,0.00
selectivity_changes_comb_prob_1_select,50.00,1.00,4798.77,6281.97,4796.97,1481.40,3.60,569.91,0.00,0.00
selectivity_changes_comb_prob_1_select,55.00,1.00,4757.21,6227.41,4755.21,1468.20,4.00,590.80,0.00,0.00
selectivity_changes_comb_prob_1_select,60.00,1.00,4775.53,6342.93,4773.73,1565.60,3.60,569.91,0.00,0.00
selectivity_changes_comb_prob_10_select,5.00,1.00,3840.79,5398.68,3839.19,1555.30,4.20,549.81,0.00,0.00
selectivity_changes_comb_prob_10_select,10.00,1.00,3850.60,5411.35,3848.60,1558.75,4.00,580.31,0.00,0.00
selectivity_changes_comb_prob_10_select,15.00,1.00,3842.61,5420.19,3840.61,1575.58,4.00,540.00,0.00,0.00
selectivity_changes_comb_prob_10_select,20.00,1.00,3843.37,5344.18,3841.57,1499.01,3.60,559.79,0.00,0.00
selectivity_changes_comb_prob_10_select,25.00,1.00,3845.38,5377.39,3843.38,1530.01,4.00,559.79,0.00,0.00
selectivity_changes_comb_prob_10_select,30.00,1.00,3836.25,5376.23,3834.45,1538.18,3.60,569.96,0.00,0.00
selectivity_changes_comb_prob_10_select,35.00,1.00,3834.59,5379.99,3832.59,1543.40,4.00,580.32,0.00,0.00
