Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_comb_b_tree_index_select_combined_match_with_range,5.00,1.00,3740.27,4830.43,3740.47,1088.96,1.00,3575.29,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,5.00,1.00,2926.37,4016.53,2926.57,1088.96,1.00,3575.36,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,5.00,1.00,4196.58,5286.74,4196.78,1088.96,1.00,3575.26,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,5.00,1.00,1627.36,2717.52,1627.56,1088.96,1.00,3575.63,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,10.00,1.00,3757.91,4833.63,3757.71,1075.52,0.40,3773.72,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,10.00,1.00,2864.54,3940.26,2864.34,1075.52,0.40,3773.83,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,10.00,1.00,4148.58,5224.30,4148.38,1075.52,0.40,3773.69,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,10.00,1.00,1623.46,2699.18,1623.26,1075.52,0.40,3774.06,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,15.00,1.00,3757.84,4828.24,3757.44,1070.00,0.80,3706.38,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,15.00,1.00,2932.39,4002.79,2931.99,1070.00,0.80,3706.45,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,15.00,1.00,4187.84,5258.24,4187.44,1070.00,0.80,3706.35,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,15.00,1.00,1612.02,2682.42,1611.62,1070.00,0.80,3706.73,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,20.00,1.00,3755.20,4820.20,3755.00,1064.80,0.40,3773.72,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,20.00,1.00,2936.01,4001.01,2935.81,1064.80,0.40,3773.79,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,20.00,1.00,4211.18,5276.18,4210.98,1064.80,0.40,3773.69,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,20.00,1.00,1610.41,2675.41,1610.21,1064.80,0.40,3774.07,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,25.00,1.00,3757.79,4836.20,3757.59,1078.21,0.40,3706.38,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,25.00,1.00,2935.38,4013.79,2935.18,1078.21,0.40,3706.45,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,25.00,1.00,4162.61,5241.02,4162.41,1078.21,0.40,3706.35,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,25.00,1.00,1603.20,2681.61,1603.00,1078.21,0.40,3706.73,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,30.00,1.00,3740.62,4805.21,3740.22,1064.19,0.80,3773.72,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,30.00,1.00,2939.81,4004.40,2939.41,1064.19,0.80,3773.79,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,30.00,1.00,4215.70,5280.29,4215.30,1064.19,0.80,3773.69,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,30.00,1.00,1614.99,2679.58,1614.59,1064.19,0.80,3774.07,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,35.00,1.00,3728.03,4809.63,3727.83,1081.40,0.40,3706.38,0.00,0.00
query_differences_comb_b_tree_index_select_exact_with_prefix,35.00,1.00,2930.80,4012.40,2930.60,1081.40,0.40,3706.45,0.00,0.00
query_differences_comb_b_tree_index_select_full_match,35.00,1.00,4182.22,5263.82,4182.02,1081.40,0.40,3706.35,0.00,0.00
query_differences_comb_b_tree_index_select_leftmost_prefix,35.00,1.00,1609.58,2691.18,1609.38,1081.40,0.40,3706.73,0.00,0.00
query_differences_comb_b_tree_index_select_combined_match_with_range,40.00,1.00,3751.36,4843.55,3751.16,1091.99,0.40,3706.38,0.00,0.00
