Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_comb_length_400_select,5.00,1.00,1053.04,3970.78,3153.33,812.85,4.60,531.09,0.00,0.00
with_index_comb_length_400_select,10.00,1.00,1061.66,3946.84,3179.77,763.47,3.60,550.53,0.00,0.00
with_index_comb_length_400_select,15.00,1.00,1071.78,3990.94,3209.14,777.80,4.00,540.72,0.00,0.00
with_index_comb_length_400_select,20.00,1.00,1062.82,3978.84,3182.85,791.99,4.00,540.72,0.00,0.00
with_index_comb_length_400_select,25.00,1.00,1070.80,4006.20,3206.20,796.00,4.00,540.72,0.00,0.00
with_index_comb_length_400_select,30.00,1.00,1066.79,3981.97,3195.17,783.20,3.60,560.51,0.00,0.00
with_index_comb_length_400_select,35.00,1.00,1070.81,3999.24,3206.44,788.80,4.00,560.51,0.00,0.00
with_index_comb_length_400_select,40.00,1.00,1063.00,3947.19,3182.59,760.60,4.00,550.53,0.00,0.00
with_index_comb_length_400_select,45.00,1.00,1069.40,4009.99,3202.39,803.60,4.00,531.09,0.00,0.00
with_index_comb_length_400_select,50.00,1.00,1062.21,3929.62,3181.42,744.60,3.60,613.22,0.00,0.00
with_index_comb_length_400_select,55.00,1.00,1058.20,3952.20,3168.40,779.80,4.00,560.51,0.00,0.00
with_index_comb_length_400_select,60.00,1.00,1069.59,4005.38,3202.58,798.80,4.00,560.51,0.00,0.00
with_index_comb_length_4000_select,5.00,1.00,360.34,1862.28,1081.43,780.25,0.60,2.91,0.00,0.00
with_index_comb_length_4000_select,10.00,1.00,363.22,1885.73,1089.06,796.27,0.40,5127.72,0.00,0.00
with_index_comb_length_4000_select,15.00,1.00,364.40,1925.00,1092.20,832.00,0.80,5036.26,0.00,0.00
with_index_comb_length_4000_select,20.00,1.00,364.20,1866.99,1092.39,774.60,0.00,2.91,0.00,0.00
with_index_comb_length_4000_select,25.00,1.00,358.81,1886.23,1076.02,809.81,0.40,5220.89,0.00,0.00
with_index_comb_length_4000_select,30.00,1.00,363.20,1871.59,1088.99,782.20,0.40,4946.44,0.00,0.00
with_index_comb_length_4000_select,35.00,1.00,364.60,1855.59,1093.00,762.19,0.40,5127.72,0.00,0.00
with_index_comb_length_4000_select,40.00,1.00,364.00,1856.40,1091.39,764.61,0.40,5220.83,0.00,0.00
with_index_comb_length_4000_select,45.00,1.00,362.01,1890.82,1085.62,804.80,0.40,5220.83,0.00,0.00
with_index_comb_length_4000_select,50.00,1.00,363.00,1915.99,1088.19,827.40,0.40,4946.44,0.00,0.00
with_index_comb_length_4000_select,55.00,1.00,364.40,2006.00,1092.01,913.19,0.80,4858.22,0.00,0.00
with_index_comb_length_4000_select,60.00,1.00,362.80,1963.40,1087.59,875.41,0.40,4602.90,0.00,0.00
without_index_comb_length_400_select,5.00,1.00,843.46,3369.44,2524.99,839.85,4.60,512.58,0.00,0.00
without_index_comb_length_400_select,10.00,1.00,853.45,3393.20,2554.34,834.86,4.00,521.87,0.00,0.00
without_index_comb_length_400_select,15.00,1.00,851.80,3465.61,2548.00,912.81,4.80,460.21,0.00,0.00
without_index_comb_length_400_select,20.00,1.00,851.21,3429.23,2547.02,877.81,4.40,485.69,0.00,0.00
without_index_comb_length_400_select,25.00,1.00,849.39,3374.78,2541.98,828.80,4.00,503.45,0.00,0.00
without_index_comb_length_400_select,30.00,1.00,859.21,3428.43,2571.03,853.00,4.40,494.47,0.00,0.00
without_index_comb_length_400_select,35.00,1.00,856.39,3451.97,2562.77,884.80,4.40,477.04,0.00,0.00
without_index_comb_length_400_select,40.00,1.00,847.79,3425.18,2536.58,884.20,4.40,460.21,0.00,0.00
without_index_comb_length_400_select,45.00,1.00,853.41,3422.02,2554.03,863.59,4.40,477.04,0.00,0.00
without_index_comb_length_400_select,50.00,1.00,850.20,3417.19,2544.59,868.60,4.00,494.49,0.00,0.00
without_index_comb_length_400_select,55.00,1.00,851.40,3426.42,2547.61,874.41,4.40,477.04,0.00,0.00
without_index_comb_length_400_select,60.00,1.00,849.20,3403.60,2540.80,858.40,4.40,477.04,0.00,0.00
without_index_comb_length_4000_select,5.00,1.00,181.77,1305.16,545.72,758.85,0.60,5.67,0.00,0.00
without_index_comb_length_4000_select,10.00,1.00,182.81,1331.11,547.63,783.08,0.40,5318.40,0.00,0.00
without_index_comb_length_4000_select,15.00,1.00,183.80,1386.19,550.99,834.80,0.40,5130.38,0.00,0.00
without_index_comb_length_4000_select,20.00,1.00,183.40,1373.58,549.20,823.78,0.60,4860.88,0.00,0.00
without_index_comb_length_4000_select,25.00,1.00,183.60,1372.42,549.81,822.01,0.60,4860.88,0.00,0.00
without_index_comb_length_4000_select,30.00,1.00,182.40,1365.79,546.59,818.80,0.40,4860.98,0.00,0.00
without_index_comb_length_4000_select,35.00,1.00,183.40,1370.20,550.00,819.80,0.40,4949.10,0.00,0.00
without_index_comb_length_4000_select,40.00,1.00,183.80,1548.59,550.60,997.59,0.40,4060.80,0.00,0.00
without_index_comb_length_4000_select,45.00,1.00,183.20,1545.81,548.81,996.60,0.40,3988.43,0.00,0.00
without_index_comb_length_4000_select,50.00,1.00,183.40,1552.79,549.99,1002.40,0.40,4060.80,0.00,0.00
without_index_comb_length_4000_select,55.00,1.00,184.40,1527.21,551.61,974.80,0.80,4060.80,0.00,0.00
without_index_comb_length_4000_select,60.00,1.00,183.40,1517.60,549.80,967.40,0.40,4134.48,0.00,0.00
