Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
char_column_select_char_desc_sort,5.00,1.00,261.76,982.62,261.96,720.06,0.60,4.25,0.00,0.00
char_column_select_char_range_comp,5.00,1.00,308.55,1029.41,308.75,720.06,0.60,3.55,0.00,0.00
char_column_select_char_desc_sort,10.00,1.00,262.42,880.49,262.22,617.87,0.40,5611.79,0.00,0.00
char_column_select_char_range_comp,10.00,1.00,310.62,928.69,310.42,617.87,0.40,5611.16,0.00,0.00
char_column_select_char_desc_sort,15.00,1.00,264.20,951.18,264.00,686.78,0.40,6251.35,0.00,0.00
char_column_select_char_range_comp,15.00,1.00,312.80,999.78,312.60,686.78,0.40,6250.88,0.00,0.00
char_column_select_char_desc_sort,20.00,1.00,262.40,983.21,262.20,720.61,0.40,5511.72,0.00,0.00
char_column_select_char_range_comp,20.00,1.00,309.80,1030.61,309.60,720.61,0.40,5511.09,0.00,0.00
char_column_select_char_desc_sort,25.00,1.00,264.00,894.80,263.80,630.60,0.40,6251.57,0.00,0.00
char_column_select_char_range_comp,25.00,1.00,310.80,941.60,310.60,630.60,0.40,6250.82,0.00,0.00
char_column_select_char_desc_sort,30.00,1.00,263.20,913.00,263.00,649.60,0.40,6140.09,0.00,0.00
char_column_select_char_range_comp,30.00,1.00,311.60,961.40,311.40,649.60,0.40,6139.40,0.00,0.00
char_column_select_char_desc_sort,35.00,1.00,262.00,1103.40,261.80,841.20,0.40,4772.85,0.00,0.00
char_column_select_char_range_comp,35.00,1.00,311.20,1152.60,311.00,841.20,0.40,4772.16,0.00,0.00
char_column_select_char_desc_sort,40.00,1.00,260.60,990.40,260.60,729.80,0.00,4.25,0.00,0.00
char_column_select_char_range_comp,40.00,1.00,309.00,1038.80,309.00,729.80,0.00,3.55,0.00,0.00
char_column_select_char_desc_sort,45.00,1.00,263.00,1162.41,262.60,899.01,0.80,5413.44,0.00,0.00
char_column_select_char_range_comp,45.00,1.00,313.00,1212.41,312.60,899.01,0.80,5412.75,0.00,0.00
char_column_select_char_desc_sort,50.00,1.00,264.80,1145.00,264.60,880.00,0.40,4604.17,0.00,0.00
char_column_select_char_range_comp,50.00,1.00,311.60,1191.80,311.40,880.00,0.40,4603.54,0.00,0.00
char_column_select_char_desc_sort,55.00,1.00,264.00,1074.00,263.80,809.80,0.40,4604.17,0.00,0.00
char_column_select_char_range_comp,55.00,1.00,308.20,1118.20,308.00,809.80,0.40,4603.54,0.00,0.00
char_column_select_char_desc_sort,60.00,1.00,264.40,929.61,264.20,665.01,0.40,5923.05,0.00,0.00
char_column_select_char_range_comp,60.00,1.00,311.40,976.61,311.20,665.01,0.40,5922.42,0.00,0.00
int_column_select_int_desc_sort,5.00,1.00,269.95,1177.98,269.95,907.03,1.00,4441.45,0.00,0.00
int_column_select_int_range_comp,5.00,1.00,380.54,1288.57,380.54,907.03,1.00,4440.24,0.00,0.00
int_column_select_int_desc_sort,10.00,1.00,273.42,1139.50,273.22,865.88,0.40,4362.19,0.00,0.00
int_column_select_int_range_comp,10.00,1.00,379.62,1245.70,379.42,865.88,0.40,4361.06,0.00,0.00
int_column_select_int_desc_sort,15.00,1.00,271.00,1061.80,270.80,790.60,0.40,5037.45,0.00,0.00
int_column_select_int_range_comp,15.00,1.00,380.21,1171.01,380.01,790.60,0.40,5036.32,0.00,0.00
int_column_select_int_desc_sort,20.00,1.00,274.80,983.40,274.60,708.40,0.40,5611.71,0.00,0.00
int_column_select_int_range_comp,20.00,1.00,375.99,1084.59,375.79,708.40,0.40,5610.58,0.00,0.00
int_column_select_int_desc_sort,25.00,1.00,271.20,919.00,271.20,647.80,0.00,4.10,0.00,0.00
int_column_select_int_range_comp,25.00,1.00,379.00,1026.80,379.00,647.80,0.00,2.97,0.00,0.00
int_column_select_int_desc_sort,30.00,1.00,266.79,906.79,266.59,639.80,0.40,6251.57,0.00,0.00
int_column_select_int_range_comp,30.00,1.00,380.20,1020.20,380.00,639.80,0.40,6250.36,0.00,0.00
int_column_select_int_desc_sort,35.00,1.00,272.01,988.01,271.81,715.80,0.40,6140.01,0.00,0.00
int_column_select_int_range_comp,35.00,1.00,380.40,1096.40,380.20,715.80,0.40,6138.88,0.00,0.00
int_column_select_int_desc_sort,40.00,1.00,271.80,1105.00,271.60,833.00,0.40,5128.91,0.00,0.00
int_column_select_int_range_comp,40.00,1.00,381.00,1214.20,380.80,833.00,0.40,5127.78,0.00,0.00
int_column_select_int_desc_sort,45.00,1.00,271.40,1018.20,271.20,746.60,0.40,5037.45,0.00,0.00
int_column_select_int_range_comp,45.00,1.00,379.00,1125.80,378.80,746.60,0.40,5036.32,0.00,0.00
int_column_select_int_desc_sort,50.00,1.00,271.00,986.19,270.80,714.99,0.40,5511.64,0.00,0.00
int_column_select_int_range_comp,50.00,1.00,379.60,1094.79,379.40,714.99,0.40,5510.51,0.00,0.00
int_column_select_int_desc_sort,55.00,1.00,263.60,964.00,263.40,700.20,0.40,5714.07,0.00,0.00
int_column_select_int_range_comp,55.00,1.00,378.40,1078.80,378.20,700.20,0.40,5712.47,0.00,0.00
int_column_select_int_desc_sort,60.00,1.00,270.80,887.79,270.60,616.79,0.40,6251.49,0.00,0.00
int_column_select_int_range_comp,60.00,1.00,379.40,996.39,379.20,616.79,0.40,6250.36,0.00,0.00
