Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_comb_length_16_select,5.00,1.00,454.14,1558.72,454.14,1104.18,0.40,2541.39,0.00,0.00
int_queries_comb_length_16_select,10.00,1.00,454.81,1552.12,454.41,1097.71,0.00,2541.39,0.00,0.00
int_queries_comb_length_16_select,15.00,1.00,454.01,1526.01,453.61,1072.40,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,20.00,1.00,451.19,1552.78,450.79,1101.99,0.00,2634.54,0.00,0.00
int_queries_comb_length_16_select,25.00,1.00,453.60,1568.00,453.20,1114.80,0.00,2541.39,0.00,0.00
int_queries_comb_length_16_select,30.00,1.00,455.20,1543.80,454.80,1089.00,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,35.00,1.00,456.00,1541.60,455.60,1086.00,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,40.00,1.00,455.60,1542.19,455.20,1086.99,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,45.00,1.00,453.80,1549.80,453.40,1096.40,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,50.00,1.00,454.41,1557.02,454.01,1103.01,0.00,2541.39,0.00,0.00
int_queries_comb_length_16_select,55.00,1.00,455.39,1547.99,454.99,1093.00,0.00,2587.53,0.00,0.00
int_queries_comb_length_16_select,60.00,1.00,455.40,1547.00,455.00,1092.00,0.00,2587.53,0.00,0.00
int_queries_comb_length_4_select,5.00,1.00,450.94,1510.53,450.94,1059.19,0.40,2634.54,0.00,0.00
int_queries_comb_length_4_select,10.00,1.00,453.01,1545.11,452.61,1092.50,0.00,2682.33,0.00,0.00
int_queries_comb_length_4_select,15.00,1.00,455.01,1506.03,454.61,1051.42,0.00,2634.50,0.00,0.00
int_queries_comb_length_4_select,20.00,1.00,453.19,1492.18,452.79,1039.39,0.00,2731.03,0.00,0.00
int_queries_comb_length_4_select,25.00,1.00,452.40,1528.40,452.00,1076.40,0.00,2634.54,0.00,0.00
int_queries_comb_length_4_select,30.00,1.00,454.40,1538.40,454.00,1084.40,0.00,2634.50,0.00,0.00
