Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
list_partitioning_select_in_multiple_countries,5.00,1.00,234.56,1321.91,234.96,1086.15,0.80,4.49,0.00,0.00
list_partitioning_select_or_multiple_countries,5.00,1.00,222.37,1309.72,222.77,1086.15,0.80,4.74,0.00,0.00
list_partitioning_select_union_multiple_countries,5.00,1.00,88.99,1176.34,89.39,1086.15,0.80,11.45,0.00,0.00
list_partitioning_select_with_pruning_simple,5.00,1.00,478.73,1566.08,479.13,1086.15,0.80,2.14,0.00,0.00
list_partitioning_select_in_multiple_countries,10.00,1.00,235.82,1305.13,235.62,1069.11,0.40,6964.66,0.00,0.00
list_partitioning_select_or_multiple_countries,10.00,1.00,224.81,1294.12,224.61,1069.11,0.40,6964.82,0.00,0.00
list_partitioning_select_union_multiple_countries,10.00,1.00,89.21,1158.52,89.01,1069.11,0.40,6971.62,0.00,0.00
list_partitioning_select_with_pruning_simple,10.00,1.00,477.02,1546.33,476.82,1069.11,0.40,6962.31,0.00,0.00
list_partitioning_select_in_multiple_countries,15.00,1.00,236.60,1352.01,236.40,1115.21,0.40,6840.37,0.00,0.00
list_partitioning_select_or_multiple_countries,15.00,1.00,225.00,1340.41,224.80,1115.21,0.40,6840.61,0.00,0.00
list_partitioning_select_union_multiple_countries,15.00,1.00,89.60,1205.01,89.40,1115.21,0.40,6847.41,0.00,0.00
list_partitioning_select_with_pruning_simple,15.00,1.00,479.60,1595.01,479.40,1115.21,0.40,6838.10,0.00,0.00
list_partitioning_select_in_multiple_countries,20.00,1.00,236.80,1312.80,236.80,1076.00,0.00,4.41,0.00,0.00
list_partitioning_select_or_multiple_countries,20.00,1.00,224.40,1300.40,224.40,1076.00,0.00,4.65,0.00,0.00
list_partitioning_select_union_multiple_countries,20.00,1.00,89.20,1165.20,89.20,1076.00,0.00,11.45,0.00,0.00
list_partitioning_select_with_pruning_simple,20.00,1.00,479.80,1555.80,479.80,1076.00,0.00,2.14,0.00,0.00
list_partitioning_select_in_multiple_countries,25.00,1.00,236.00,1308.60,235.80,1072.40,0.40,6964.66,0.00,0.00
list_partitioning_select_or_multiple_countries,25.00,1.00,226.20,1298.80,226.00,1072.40,0.40,6964.82,0.00,0.00
list_partitioning_select_union_multiple_countries,25.00,1.00,89.60,1162.20,89.40,1072.40,0.40,6971.62,0.00,0.00
list_partitioning_select_with_pruning_simple,25.00,1.00,479.00,1551.60,478.80,1072.40,0.40,6962.31,0.00,0.00
list_partitioning_select_in_multiple_countries,30.00,1.00,236.60,1321.61,236.40,1084.81,0.40,6964.58,0.00,0.00
list_partitioning_select_or_multiple_countries,30.00,1.00,224.80,1309.81,224.60,1084.81,0.40,6964.82,0.00,0.00
list_partitioning_select_union_multiple_countries,30.00,1.00,89.40,1174.41,89.20,1084.81,0.40,6971.62,0.00,0.00
