Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_comb_length_10_select,5.00,1.00,1574.15,5315.78,4545.09,651.71,118.98,22.63,0.00,0.00
with_index_comb_length_10_select,10.00,1.00,1604.49,5418.09,4632.66,664.62,120.80,21.84,0.00,0.00
with_index_comb_length_10_select,15.00,1.00,1580.57,5334.11,4563.71,652.00,118.40,22.63,0.00,0.00
with_index_comb_length_10_select,20.00,1.00,1588.04,5368.51,4582.51,665.00,121.00,21.47,0.00,0.00
with_index_comb_length_10_select,25.00,1.00,1575.40,5324.40,4547.00,657.80,119.60,21.84,0.00,0.00
with_index_comb_length_10_select,30.00,1.00,1597.60,5364.99,4620.79,629.60,114.60,23.01,0.00,0.00
with_index_comb_length_10_select,35.00,1.00,1591.40,5284.99,4621.59,561.40,102.00,24.68,0.00,0.00
with_index_comb_length_10_select,40.00,1.00,1579.97,5251.71,4586.11,563.20,102.40,25.11,0.00,0.00
with_index_comb_length_10_select,45.00,1.00,1584.23,5273.48,4595.89,573.39,104.20,24.25,0.00,0.00
with_index_comb_length_10_select,50.00,1.00,1580.58,5258.55,4586.94,568.21,103.40,25.56,0.00,0.00
with_index_comb_length_10_select,55.00,1.00,1587.82,5288.66,4605.66,578.00,105.00,24.25,0.00,0.00
with_index_comb_length_10_select,60.00,1.00,1593.77,5303.11,4625.31,573.60,104.20,24.68,0.00,0.00
with_index_comb_length_40_select,5.00,1.00,1490.76,5037.59,4430.49,578.51,28.60,80.78,0.00,0.00
with_index_comb_length_40_select,10.00,1.00,1481.28,5012.88,4401.24,583.24,28.40,80.78,0.00,0.00
with_index_comb_length_40_select,15.00,1.00,1496.38,5069.94,4445.34,595.40,29.20,79.35,0.00,0.00
with_index_comb_length_40_select,20.00,1.00,1500.83,5074.69,4460.29,586.00,28.40,80.78,0.00,0.00
with_index_comb_length_40_select,25.00,1.00,1483.76,5003.09,4409.89,565.60,27.60,86.75,0.00,0.00
with_index_comb_length_40_select,30.00,1.00,1504.44,5109.51,4468.31,611.20,30.00,77.94,0.00,0.00
with_index_comb_length_40_select,35.00,1.00,1487.20,5057.00,4417.00,610.40,29.60,77.94,0.00,0.00
with_index_comb_length_40_select,40.00,1.00,1486.40,5018.40,4417.40,573.00,28.00,85.22,0.00,0.00
with_index_comb_length_40_select,45.00,1.00,1483.80,5030.20,4407.40,593.80,29.00,79.35,0.00,0.00
with_index_comb_length_40_select,50.00,1.00,1498.58,5102.33,4450.74,621.39,30.20,77.94,0.00,0.00
with_index_comb_length_40_select,55.00,1.00,1510.19,5161.99,4483.18,647.21,31.60,73.87,0.00,0.00
with_index_comb_length_40_select,60.00,1.00,1490.04,5088.71,4423.11,634.40,31.20,77.94,0.00,0.00
without_index_comb_length_10_select,5.00,1.00,1606.49,5411.60,4642.91,650.10,118.58,23.01,0.00,0.00
without_index_comb_length_10_select,10.00,1.00,1620.31,5614.58,4634.73,829.04,150.81,18.36,0.00,0.00
without_index_comb_length_10_select,15.00,1.00,1627.63,5558.08,4680.28,742.80,135.00,19.67,0.00,0.00
without_index_comb_length_10_select,20.00,1.00,1624.37,5550.91,4670.12,745.39,135.40,20.01,0.00,0.00
without_index_comb_length_10_select,25.00,1.00,1603.02,5468.08,4611.27,724.81,132.00,19.68,0.00,0.00
without_index_comb_length_10_select,30.00,1.00,1637.00,5575.00,4711.40,730.80,132.80,20.01,0.00,0.00
without_index_comb_length_10_select,35.00,1.00,1632.18,5556.52,4698.73,725.79,132.00,19.67,0.00,0.00
without_index_comb_length_10_select,40.00,1.00,1619.63,5423.71,4689.90,621.01,112.80,23.41,0.00,0.00
without_index_comb_length_10_select,45.00,1.00,1618.00,5448.20,4674.80,654.20,119.20,21.46,0.00,0.00
without_index_comb_length_10_select,50.00,1.00,1600.58,5364.95,4633.55,619.00,112.40,22.62,0.00,0.00
without_index_comb_length_10_select,55.00,1.00,1603.01,5349.44,4646.63,594.81,108.00,23.83,0.00,0.00
without_index_comb_length_10_select,60.00,1.00,1611.80,5401.40,4665.60,622.60,113.20,22.23,0.00,0.00
without_index_comb_length_40_select,5.00,1.00,1447.94,4988.09,4296.22,659.28,32.59,71.33,0.00,0.00
without_index_comb_length_40_select,10.00,1.00,1455.92,5017.62,4319.37,665.85,32.40,76.59,0.00,0.00
without_index_comb_length_40_select,15.00,1.00,1452.60,5034.40,4306.79,693.61,34.00,71.33,0.00,0.00
without_index_comb_length_40_select,20.00,1.00,1456.17,4992.31,4321.32,639.79,31.20,73.90,0.00,0.00
without_index_comb_length_40_select,25.00,1.00,1455.23,4998.90,4318.49,648.81,31.60,73.90,0.00,0.00
without_index_comb_length_40_select,30.00,1.00,1449.37,4993.50,4299.30,661.80,32.40,73.90,0.00,0.00
without_index_comb_length_40_select,35.00,1.00,1449.24,5003.11,4298.51,672.00,32.60,75.23,0.00,0.00
without_index_comb_length_40_select,40.00,1.00,1462.77,5010.30,4342.51,636.79,31.00,72.60,0.00,0.00
without_index_comb_length_40_select,45.00,1.00,1483.00,5087.79,4400.59,655.20,32.00,72.58,0.00,0.00
without_index_comb_length_40_select,50.00,1.00,1466.02,5033.28,4350.87,650.80,31.60,75.23,0.00,0.00
without_index_comb_length_40_select,55.00,1.00,1466.21,5023.62,4351.42,640.60,31.60,76.59,0.00,0.00
without_index_comb_length_40_select,60.00,1.00,1462.40,5003.59,4340.59,632.20,30.80,73.90,0.00,0.00
