Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
mat_view_db_postgres_comb_refresh_every_select,5.00,1.00,1379.39,6615.14,5515.95,823.24,275.95,1507.09,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,10.00,1.00,1396.48,6666.24,5583.33,811.68,271.23,1480.19,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,15.00,1.00,1374.79,6593.76,5495.98,822.39,275.40,1480.22,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,20.00,1.00,1369.81,6549.63,5477.02,804.01,268.60,1562.33,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,25.00,1.00,1376.79,6571.74,5504.17,799.98,267.59,1507.09,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,30.00,1.00,1375.18,6572.56,5497.73,805.42,269.41,1507.09,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,35.00,1.00,1369.01,6413.23,5474.03,703.80,235.40,1709.44,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,40.00,1.00,1390.62,6488.46,5559.68,695.99,232.80,1740.48,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,45.00,1.00,1373.18,6423.94,5491.14,699.20,233.60,1772.09,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,50.00,1.00,1385.62,6494.08,5540.46,714.61,239.00,1709.41,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,55.00,1.00,1369.60,6411.99,5475.99,701.40,234.60,1709.44,0.00,0.00
mat_view_db_postgres_comb_refresh_every_select,60.00,1.00,1392.59,6518.14,5567.56,712.19,238.40,1772.07,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,5.00,1.00,1379.59,8697.20,5508.56,3180.04,8.60,384.13,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,10.00,1.00,1371.06,8607.67,5473.62,3126.25,7.80,398.17,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,15.00,1.00,1376.02,8605.87,5493.48,3104.59,7.80,398.19,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,20.00,1.00,1379.40,8618.02,5507.61,3102.61,7.80,391.10,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,25.00,1.00,1355.80,8458.78,5413.19,3038.39,7.20,405.42,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,30.00,1.00,1363.81,8536.25,5444.83,3083.62,7.80,405.42,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,35.00,1.00,1360.40,8643.96,5431.20,3204.96,7.80,384.14,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,40.00,1.00,1359.41,8581.04,5427.24,3146.00,7.80,391.11,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,45.00,1.00,1368.77,8512.10,5465.08,3039.22,7.80,405.42,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,50.00,1.00,1364.60,8360.34,5448.80,2904.34,7.20,427.88,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,55.00,1.00,1382.41,8364.08,5519.63,2837.25,7.20,435.64,0.00,0.00
mat_view_db_postgres_comb_refresh_once_select,60.00,1.00,1374.41,8268.68,5488.64,2773.04,7.00,459.76,0.00,0.00
with_trigger_db_mysql_select,5.00,1.00,1016.24,4966.57,4063.37,901.20,2.00,1377.68,0.00,0.00
with_trigger_db_mysql_select,10.00,1.00,1016.84,4963.25,4063.95,897.70,1.60,1328.99,0.00,0.00
with_trigger_db_mysql_select,15.00,1.00,1008.82,4921.67,4031.67,888.40,1.60,1353.11,0.00,0.00
with_trigger_db_mysql_select,20.00,1.00,1012.59,4954.55,4048.55,904.80,1.20,1353.11,0.00,0.00
with_trigger_db_mysql_select,25.00,1.00,1003.01,4895.23,4008.83,884.80,1.60,1353.11,0.00,0.00
with_trigger_db_mysql_select,30.00,1.00,1013.79,4891.55,4051.95,838.00,1.60,1507.37,0.00,0.00
with_trigger_db_mysql_select,35.00,1.00,1016.01,4905.64,4061.64,842.80,1.20,1454.07,0.00,0.00
with_trigger_db_mysql_select,40.00,1.00,1014.99,4879.95,4056.76,821.59,1.60,1480.49,0.00,0.00
with_trigger_db_mysql_select,45.00,1.00,1006.60,4885.21,4024.01,860.00,1.20,1428.16,0.00,0.00
with_trigger_db_mysql_select,50.00,1.00,1006.80,4892.82,4023.81,867.41,1.60,1402.69,0.00,0.00
with_trigger_db_mysql_select,55.00,1.00,1002.41,4898.06,4007.05,889.81,1.20,1402.69,0.00,0.00
with_trigger_db_mysql_select,60.00,1.00,1011.39,4925.97,4042.77,881.60,1.60,1353.11,0.00,0.00
with_trigger_pg_db_postgres_select,5.00,1.00,1174.38,7479.98,4689.52,2785.26,5.20,435.75,0.00,0.00
with_trigger_pg_db_postgres_select,10.00,1.00,1176.49,7443.56,4695.77,2743.18,4.60,451.71,0.00,0.00
with_trigger_pg_db_postgres_select,15.00,1.00,1179.80,7391.07,4710.59,2675.88,4.60,451.69,0.00,0.00
with_trigger_pg_db_postgres_select,20.00,1.00,1176.61,7336.22,4697.43,2634.39,4.40,459.90,0.00,0.00
with_trigger_pg_db_postgres_select,25.00,1.00,1168.61,7271.41,4666.83,2600.58,4.00,494.18,0.00,0.00
with_trigger_pg_db_postgres_select,30.00,1.00,1328.19,7981.58,5303.38,2673.40,4.80,468.13,0.00,0.00
with_trigger_pg_db_postgres_select,35.00,1.00,1324.20,7979.83,5287.41,2688.02,4.40,459.79,0.00,0.00
with_trigger_pg_db_postgres_select,40.00,1.00,1316.20,7890.61,5256.01,2630.20,4.40,459.79,0.00,0.00
with_trigger_pg_db_postgres_select,45.00,1.00,1317.38,7880.29,5261.13,2614.76,4.40,468.13,0.00,0.00
with_trigger_pg_db_postgres_select,50.00,1.00,1338.39,7950.76,5345.77,2600.99,4.00,476.60,0.00,0.00
with_trigger_pg_db_postgres_select,55.00,1.00,1322.82,7802.70,5281.89,2516.41,4.40,485.27,0.00,0.00
with_trigger_pg_db_postgres_select,60.00,1.00,1333.39,7864.77,5326.15,2534.62,4.00,485.27,0.00,0.00
