Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
not_null_select,5.00,1.00,47.19,1326.36,377.53,947.83,1.00,4225.82,0.00,0.00
not_null_select,10.00,1.00,48.00,1351.30,381.23,969.67,0.40,4225.43,0.00,0.00
not_null_select,15.00,1.00,48.20,1473.79,383.79,1089.60,0.40,3933.29,0.00,0.00
not_null_select,20.00,1.00,48.00,1438.81,380.81,1057.20,0.80,3794.92,0.00,0.00
not_null_select,25.00,1.00,47.60,1446.99,379.40,1067.19,0.40,3794.92,0.00,0.00
not_null_select,30.00,1.00,47.80,1462.21,382.00,1079.81,0.40,3727.58,0.00,0.00
not_null_select,35.00,1.00,47.20,1439.00,373.80,1064.40,0.80,3730.03,0.00,0.00
not_null_select,40.00,1.00,47.40,1437.80,377.40,1060.00,0.40,3794.92,0.00,0.00
not_null_select,45.00,1.00,48.00,1453.80,382.00,1071.40,0.40,3794.92,0.00,0.00
not_null_select,50.00,1.00,48.00,1553.99,381.19,1172.00,0.80,3661.44,0.00,0.00
not_null_select,55.00,1.00,47.80,1487.21,380.61,1106.20,0.40,3470.03,0.00,0.00
not_null_select,60.00,1.00,48.20,1354.59,383.59,970.60,0.40,3933.29,0.00,0.00
with_null_select,5.00,1.00,47.79,1374.09,380.93,992.16,1.00,4076.73,0.00,0.00
with_null_select,10.00,1.00,48.00,1357.78,383.83,973.55,0.40,4076.73,0.00,0.00
with_null_select,15.00,1.00,47.80,1437.99,379.99,1057.60,0.40,4076.73,0.00,0.00
with_null_select,20.00,1.00,47.60,1452.60,377.00,1074.80,0.80,3727.97,0.00,0.00
with_null_select,25.00,1.00,47.80,1447.40,381.20,1065.80,0.40,3794.92,0.00,0.00
with_null_select,30.00,1.00,47.60,1454.20,379.01,1074.79,0.40,3727.58,0.00,0.00
with_null_select,35.00,1.00,47.60,1412.20,377.39,1034.01,0.80,3863.87,0.00,0.00
with_null_select,40.00,1.00,48.00,1418.41,382.41,1035.60,0.40,3933.29,0.00,0.00
with_null_select,45.00,1.00,47.60,1401.59,379.19,1022.00,0.40,3933.29,0.00,0.00
with_null_select,50.00,1.00,47.60,1404.01,380.41,1023.20,0.40,4004.36,0.00,0.00
with_null_select,55.00,1.00,48.00,1400.39,379.59,1020.00,0.80,3933.29,0.00,0.00
with_null_select,60.00,1.00,47.80,1387.82,381.21,1006.21,0.40,3933.29,0.00,0.00
