Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_comb_datatyp_bigint_64_select,5.00,1.00,154.58,1358.76,308.96,1048.80,1.00,3848.77,0.00,0.00
int_comb_datatyp_bigint_64_select,10.00,1.00,154.61,1372.51,308.81,1063.30,0.40,3848.77,0.00,0.00
int_comb_datatyp_bigint_64_select,15.00,1.00,153.60,1331.20,306.79,1024.01,0.40,3712.87,0.00,0.00
int_comb_datatyp_bigint_64_select,20.00,1.00,155.40,1305.20,310.00,994.40,0.80,4062.02,0.00,0.00
int_comb_datatyp_bigint_64_select,25.00,1.00,153.60,1277.79,306.80,970.59,0.40,3989.65,0.00,0.00
int_comb_datatyp_bigint_64_select,30.00,1.00,154.20,1319.21,308.01,1010.80,0.40,4135.70,0.00,0.00
int_comb_datatyp_bigint_64_select,35.00,1.00,153.60,1325.20,306.80,1018.00,0.40,3918.58,0.00,0.00
int_comb_datatyp_bigint_64_select,40.00,1.00,153.60,1329.80,306.40,1022.60,0.80,3989.65,0.00,0.00
int_comb_datatyp_bigint_64_select,45.00,1.00,154.80,1337.99,309.19,1028.40,0.40,3989.65,0.00,0.00
int_comb_datatyp_bigint_64_select,50.00,1.00,155.00,1328.60,309.60,1018.60,0.40,3918.58,0.00,0.00
int_comb_datatyp_bigint_64_select,55.00,1.00,153.60,1309.99,306.40,1002.99,0.60,3989.65,0.00,0.00
int_comb_datatyp_bigint_64_select,60.00,1.00,155.00,1319.81,309.60,1009.61,0.60,3989.65,0.00,0.00
int_comb_datatyp_decimal_65_select,5.00,1.00,145.77,1323.75,291.35,1031.40,1.00,3849.15,0.00,0.00
int_comb_datatyp_decimal_65_select,10.00,1.00,146.81,1320.73,293.22,1027.11,0.40,3918.96,0.00,0.00
int_comb_datatyp_decimal_65_select,15.00,1.00,147.20,1354.58,294.00,1060.18,0.40,3918.96,0.00,0.00
int_comb_datatyp_decimal_65_select,20.00,1.00,146.80,1312.41,292.81,1018.80,0.80,3918.96,0.00,0.00
int_comb_datatyp_decimal_65_select,25.00,1.00,147.20,1307.40,294.00,1013.00,0.40,3990.03,0.00,0.00
int_comb_datatyp_decimal_65_select,30.00,1.00,147.80,1311.39,295.19,1015.80,0.40,3849.02,0.00,0.00
int_comb_datatyp_decimal_65_select,35.00,1.00,147.60,1333.79,294.40,1038.59,0.80,4062.40,0.00,0.00
int_comb_datatyp_decimal_65_select,40.00,1.00,147.40,1342.21,294.40,1047.41,0.40,3849.15,0.00,0.00
int_comb_datatyp_decimal_65_select,45.00,1.00,147.00,1327.41,293.61,1033.40,0.40,3918.96,0.00,0.00
int_comb_datatyp_decimal_65_select,50.00,1.00,147.00,1326.39,293.59,1032.40,0.40,3780.59,0.00,0.00
int_comb_datatyp_decimal_65_select,55.00,1.00,147.20,1341.80,293.60,1047.40,0.80,3918.96,0.00,0.00
int_comb_datatyp_decimal_65_select,60.00,1.00,147.40,1338.99,294.20,1044.39,0.40,3713.25,0.00,0.00
int_comb_datatyp_int_32_select,5.00,1.00,153.38,1362.36,306.56,1054.80,1.00,3780.33,0.00,0.00
int_comb_datatyp_int_32_select,10.00,1.00,155.41,1394.71,310.41,1083.90,0.40,3712.75,0.00,0.00
int_comb_datatyp_int_32_select,15.00,1.00,155.60,1349.80,310.80,1038.60,0.40,3780.09,0.00,0.00
int_comb_datatyp_int_32_select,20.00,1.00,154.80,1317.79,308.79,1008.20,0.80,3989.65,0.00,0.00
int_comb_datatyp_int_32_select,25.00,1.00,156.40,1271.60,312.40,958.80,0.40,3989.53,0.00,0.00
int_comb_datatyp_int_32_select,30.00,1.00,155.40,1334.20,310.20,1023.60,0.40,4286.99,0.00,0.00
int_comb_datatyp_int_32_select,35.00,1.00,156.40,1326.40,312.60,1013.40,0.40,3848.65,0.00,0.00
int_comb_datatyp_int_32_select,40.00,1.00,153.40,1333.00,305.99,1026.21,0.80,3918.70,0.00,0.00
int_comb_datatyp_int_32_select,45.00,1.00,155.60,1362.01,310.81,1050.80,0.40,3848.77,0.00,0.00
int_comb_datatyp_int_32_select,50.00,1.00,155.20,1284.59,309.99,974.20,0.40,3989.53,0.00,0.00
int_comb_datatyp_int_32_select,55.00,1.00,156.20,1273.98,311.80,961.78,0.40,4062.02,0.00,0.00
int_comb_datatyp_int_32_select,60.00,1.00,155.60,1357.21,310.60,1045.81,0.80,4210.60,0.00,0.00
int_comb_datatyp_mediumint_24_select,5.00,1.00,154.38,1371.33,308.55,1061.78,1.00,3712.87,0.00,0.00
int_comb_datatyp_mediumint_24_select,10.00,1.00,156.01,1381.51,311.61,1069.50,0.40,3848.77,0.00,0.00
int_comb_datatyp_mediumint_24_select,15.00,1.00,156.00,1366.81,311.60,1054.81,0.40,3780.09,0.00,0.00
int_comb_datatyp_mediumint_24_select,20.00,1.00,154.60,1375.80,308.39,1066.61,0.80,3780.21,0.00,0.00
int_comb_datatyp_mediumint_24_select,25.00,1.00,155.21,1397.39,310.02,1086.97,0.40,3712.75,0.00,0.00
int_comb_datatyp_mediumint_24_select,30.00,1.00,155.80,1381.99,310.79,1070.40,0.80,3780.21,0.00,0.00
int_comb_datatyp_mediumint_24_select,35.00,1.00,155.40,1377.42,310.40,1066.62,0.40,3712.75,0.00,0.00
