Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
range_partitioning_select_with_partition_between_1985,5.00,1.00,754.69,7578.31,754.29,6821.62,2.40,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,5.00,1.00,316.43,7140.05,316.03,6821.62,2.40,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,5.00,1.00,19.39,6843.01,18.99,6821.62,2.40,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,5.00,1.00,21.38,6845.00,20.98,6821.62,2.40,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,10.00,1.00,762.75,8045.81,761.75,7282.06,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,10.00,1.00,320.57,7603.63,319.57,7282.06,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,10.00,1.00,20.80,7303.86,19.80,7282.06,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,10.00,1.00,22.00,7305.06,21.00,7282.06,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,15.00,1.00,761.25,8055.80,760.25,7293.55,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,15.00,1.00,319.76,7614.31,318.76,7293.55,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,15.00,1.00,20.79,7315.34,19.79,7293.55,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,15.00,1.00,22.20,7316.75,21.20,7293.55,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,20.00,1.00,760.35,7709.77,759.55,6948.63,1.60,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,20.00,1.00,319.55,7268.97,318.75,6948.63,1.60,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,20.00,1.00,20.80,6970.22,20.00,6948.63,1.60,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,20.00,1.00,21.81,6971.23,21.01,6948.63,1.60,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,25.00,1.00,762.45,8000.81,761.45,7237.35,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,25.00,1.00,318.96,7557.32,317.96,7237.35,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,25.00,1.00,21.00,7259.36,20.00,7237.35,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,25.00,1.00,21.98,7260.34,20.98,7237.35,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,30.00,1.00,762.93,8094.18,761.93,7330.25,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,30.00,1.00,319.35,7650.60,318.35,7330.25,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,30.00,1.00,21.02,7352.27,20.02,7330.25,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,30.00,1.00,22.02,7353.27,21.02,7330.25,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,35.00,1.00,764.21,8126.26,763.21,7361.05,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,35.00,1.00,319.96,7682.01,318.96,7361.05,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,35.00,1.00,21.19,7383.24,20.19,7361.05,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,35.00,1.00,22.00,7384.05,21.00,7361.05,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,40.00,1.00,761.99,8077.28,760.99,7314.29,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,40.00,1.00,319.88,7635.17,318.88,7314.29,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,40.00,1.00,20.99,7336.28,19.99,7314.29,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,40.00,1.00,22.19,7337.48,21.19,7314.29,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,45.00,1.00,764.61,8156.77,763.61,7391.16,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,45.00,1.00,318.86,7711.02,317.86,7391.16,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,45.00,1.00,21.02,7413.18,20.02,7391.16,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,45.00,1.00,22.00,7414.16,21.00,7391.16,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,50.00,1.00,762.00,8218.07,761.00,7455.07,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,50.00,1.00,319.46,7775.53,318.46,7455.07,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,50.00,1.00,21.19,7477.26,20.19,7455.07,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,50.00,1.00,22.00,7478.07,21.00,7455.07,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_between_1985,55.00,1.00,760.49,8155.36,759.49,7393.87,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_first_day_1985,55.00,1.00,318.91,7713.78,317.91,7393.87,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_without_where,55.00,1.00,21.00,7415.87,20.00,7393.87,2.00,0.00,0.00,0.00
range_partitioning_select_with_partition_year_1985,55.00,1.00,22.20,7417.07,21.20,7393.87,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,5.00,1.00,219.31,7123.93,218.90,6902.63,2.40,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,5.00,1.00,259.66,7164.29,259.26,6902.63,2.40,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,5.00,1.00,260.08,7164.71,259.68,6902.63,2.40,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,10.00,1.00,219.19,7212.17,218.19,6991.98,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,10.00,1.00,263.29,7256.27,262.29,6991.98,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,10.00,1.00,262.05,7255.03,261.05,6991.98,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,15.00,1.00,220.47,7477.38,219.47,7255.91,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,15.00,1.00,257.03,7513.94,256.03,7255.91,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,15.00,1.00,260.14,7517.05,259.14,7255.91,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,20.00,1.00,218.95,7248.21,218.15,7028.46,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,20.00,1.00,263.12,7292.38,262.32,7028.46,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,20.00,1.00,246.67,7275.93,245.87,7028.46,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,25.00,1.00,223.64,7437.29,222.64,7212.65,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,25.00,1.00,265.01,7478.66,264.01,7212.65,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,25.00,1.00,258.24,7471.89,257.24,7212.65,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,30.00,1.00,217.54,7056.87,216.54,6838.33,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,30.00,1.00,260.82,7100.15,259.82,6838.33,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,30.00,1.00,263.17,7102.50,262.17,6838.33,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,35.00,1.00,225.19,7137.97,224.39,6911.98,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,35.00,1.00,264.17,7176.95,263.37,6911.98,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,35.00,1.00,262.61,7175.39,261.81,6911.98,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,40.00,1.00,225.00,7366.58,224.00,7140.58,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,40.00,1.00,262.42,7404.00,261.42,7140.58,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,40.00,1.00,262.18,7403.76,261.18,7140.58,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,45.00,1.00,224.46,7091.64,223.46,6866.18,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,45.00,1.00,265.61,7132.79,264.61,6866.18,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,45.00,1.00,256.47,7123.65,255.47,6866.18,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,50.00,1.00,225.07,7205.63,224.27,6979.76,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,50.00,1.00,265.97,7246.53,265.17,6979.76,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,50.00,1.00,261.09,7241.65,260.29,6979.76,1.60,0.00,0.00,0.00
without_partitioning_select_without_range_between_1985,55.00,1.00,225.04,6949.01,224.04,6722.97,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_first_day_1985,55.00,1.00,265.02,6988.99,264.02,6722.97,2.00,0.00,0.00,0.00
without_partitioning_select_without_range_year_1985,55.00,1.00,261.78,6985.75,260.78,6722.97,2.00,0.00,0.00,0.00
