LogFile,CountValue
replication_comb_format_mixed_select_port_3307_kunden,700
replication_comb_format_mixed_select_port_3308_kunden,700
replication_comb_format_row_select_port_3307_kunden,700
replication_comb_format_row_select_port_3308_kunden,700
replication_comb_format_statement_select_port_3307_kunden,700
replication_comb_format_statement_select_port_3308_kunden,700
replication_comb_format_mixed_select_port_3307_bestellung,2100
replication_comb_format_mixed_select_port_3307_kundenmitbestellung,2100
replication_comb_format_mixed_select_port_3308_bestellung,2100
replication_comb_format_mixed_select_port_3308_kundenmitbestellung,2100
replication_comb_format_row_select_port_3307_bestellung,2100
replication_comb_format_row_select_port_3307_kundenmitbestellung,2100
replication_comb_format_row_select_port_3308_bestellung,2100
replication_comb_format_row_select_port_3308_kundenmitbestellung,2100
replication_comb_format_statement_select_port_3307_bestellung,2100
replication_comb_format_statement_select_port_3307_kundenmitbestellung,2100
replication_comb_format_statement_select_port_3308_bestellung,2100
replication_comb_format_statement_select_port_3308_kundenmitbestellung,2100
