Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
replication_comb_format_mixed_select_with_port_3307,5.00,1.00,397.12,1251.30,397.52,852.58,1.20,3269.76,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,5.00,1.00,240.56,1094.74,240.96,852.58,1.20,3271.44,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,10.00,1.00,397.44,1229.35,397.04,831.51,0.80,3389.56,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,10.00,1.00,240.82,1072.73,240.42,831.51,0.80,3391.24,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,15.00,1.00,398.80,1241.41,398.60,842.41,0.40,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,15.00,1.00,240.20,1082.81,240.00,842.41,0.40,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,20.00,1.00,399.40,1235.22,399.00,835.62,0.60,3389.56,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,20.00,1.00,240.80,1076.62,240.40,835.62,0.60,3391.24,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,25.00,1.00,398.19,1242.17,397.99,843.58,0.60,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,25.00,1.00,240.60,1084.58,240.40,843.58,0.60,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,30.00,1.00,397.80,1249.44,397.40,851.24,0.80,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,30.00,1.00,240.99,1092.63,240.59,851.24,0.80,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,35.00,1.00,399.40,1258.11,399.20,858.51,0.40,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,35.00,1.00,240.80,1099.51,240.60,858.51,0.40,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,40.00,1.00,398.21,1243.83,397.81,845.22,0.80,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,40.00,1.00,240.80,1086.42,240.40,845.22,0.80,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,45.00,1.00,399.00,1219.80,398.80,820.60,0.40,3451.10,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,45.00,1.00,241.21,1062.01,241.01,820.60,0.40,3452.78,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,50.00,1.00,399.00,1245.59,398.60,846.19,0.80,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,50.00,1.00,239.99,1086.58,239.59,846.19,0.80,3330.80,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,55.00,1.00,397.40,1240.40,397.20,842.80,0.40,3389.56,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,55.00,1.00,240.60,1083.60,240.40,842.80,0.40,3391.24,0.00,0.00
replication_comb_format_mixed_select_with_port_3307,60.00,1.00,398.20,1241.02,397.80,842.42,0.80,3329.12,0.00,0.00
replication_comb_format_mixed_select_with_port_3308,60.00,1.00,240.39,1083.21,239.99,842.42,0.80,3330.80,0.00,0.00
replication_comb_format_row_select_with_port_3307,5.00,1.00,391.55,1238.73,391.95,845.58,1.20,3269.80,0.00,0.00
replication_comb_format_row_select_with_port_3308,5.00,1.00,238.77,1085.95,239.17,845.58,1.20,3271.44,0.00,0.00
replication_comb_format_row_select_with_port_3307,10.00,1.00,394.01,1232.11,393.61,837.70,0.80,3389.60,0.00,0.00
replication_comb_format_row_select_with_port_3308,10.00,1.00,240.01,1078.11,239.61,837.70,0.80,3391.24,0.00,0.00
replication_comb_format_row_select_with_port_3307,15.00,1.00,394.41,1264.00,394.21,869.39,0.40,3269.76,0.00,0.00
replication_comb_format_row_select_with_port_3308,15.00,1.00,239.40,1108.99,239.20,869.39,0.40,3271.44,0.00,0.00
replication_comb_format_row_select_with_port_3307,20.00,1.00,394.80,1256.62,394.40,861.42,0.80,3211.49,0.00,0.00
replication_comb_format_row_select_with_port_3308,20.00,1.00,239.40,1101.22,239.00,861.42,0.80,3213.13,0.00,0.00
replication_comb_format_row_select_with_port_3307,25.00,1.00,394.20,1251.41,394.00,857.01,0.40,3389.60,0.00,0.00
replication_comb_format_row_select_with_port_3308,25.00,1.00,238.20,1095.41,238.00,857.01,0.40,3391.24,0.00,0.00
replication_comb_format_row_select_with_port_3307,30.00,1.00,395.99,1248.19,395.59,851.80,0.80,3329.12,0.00,0.00
replication_comb_format_row_select_with_port_3308,30.00,1.00,239.60,1091.80,239.20,851.80,0.80,3330.80,0.00,0.00
replication_comb_format_row_select_with_port_3307,35.00,1.00,394.01,1250.41,393.81,856.20,0.40,3329.16,0.00,0.00
replication_comb_format_row_select_with_port_3308,35.00,1.00,239.21,1095.61,239.01,856.20,0.40,3330.80,0.00,0.00
replication_comb_format_row_select_with_port_3307,40.00,1.00,393.00,1247.19,392.60,853.79,0.80,3269.80,0.00,0.00
replication_comb_format_row_select_with_port_3308,40.00,1.00,238.40,1092.59,238.00,853.79,0.80,3271.44,0.00,0.00
replication_comb_format_row_select_with_port_3307,45.00,1.00,392.80,1257.22,392.60,864.22,0.40,3269.80,0.00,0.00
replication_comb_format_row_select_with_port_3308,45.00,1.00,237.99,1102.41,237.79,864.22,0.40,3271.44,0.00,0.00
replication_comb_format_row_select_with_port_3307,50.00,1.00,395.00,1216.75,394.60,821.35,0.80,3329.16,0.00,0.00
replication_comb_format_row_select_with_port_3308,50.00,1.00,239.61,1061.36,239.21,821.35,0.80,3330.80,0.00,0.00
replication_comb_format_row_select_with_port_3307,55.00,1.00,393.60,1249.85,393.40,856.05,0.40,3389.60,0.00,0.00
replication_comb_format_row_select_with_port_3308,55.00,1.00,238.59,1094.84,238.39,856.05,0.40,3391.24,0.00,0.00
replication_comb_format_row_select_with_port_3307,60.00,1.00,395.20,1220.01,394.80,824.41,0.80,3389.56,0.00,0.00
replication_comb_format_row_select_with_port_3308,60.00,1.00,239.60,1064.41,239.20,824.41,0.80,3391.24,0.00,0.00
replication_comb_format_statement_select_with_port_3307,5.00,1.00,391.73,1241.71,392.13,848.38,1.20,3329.16,0.00,0.00
replication_comb_format_statement_select_with_port_3308,5.00,1.00,239.77,1089.75,240.17,848.38,1.20,3330.80,0.00,0.00
replication_comb_format_statement_select_with_port_3307,10.00,1.00,396.83,1246.82,396.43,849.59,0.80,3329.12,0.00,0.00
replication_comb_format_statement_select_with_port_3308,10.00,1.00,240.61,1090.60,240.21,849.59,0.80,3330.80,0.00,0.00
replication_comb_format_statement_select_with_port_3307,15.00,1.00,397.60,1237.89,397.40,840.09,0.40,3329.12,0.00,0.00
replication_comb_format_statement_select_with_port_3308,15.00,1.00,240.20,1080.49,240.00,840.09,0.40,3330.80,0.00,0.00
replication_comb_format_statement_select_with_port_3307,20.00,1.00,396.60,1234.55,396.20,837.55,0.80,3329.16,0.00,0.00
replication_comb_format_statement_select_with_port_3308,20.00,1.00,239.60,1077.55,239.20,837.55,0.80,3330.80,0.00,0.00
replication_comb_format_statement_select_with_port_3307,25.00,1.00,397.40,1254.87,397.20,857.27,0.40,3329.12,0.00,0.00
replication_comb_format_statement_select_with_port_3308,25.00,1.00,240.00,1097.47,239.80,857.27,0.40,3330.80,0.00,0.00
replication_comb_format_statement_select_with_port_3307,30.00,1.00,396.60,1250.39,396.20,853.39,0.80,3269.80,0.00,0.00
