Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
replication_db_mysql_master_slave_comb_sel_thr_16_select,5.00,16.00,2146.03,3018.97,2155.43,862.35,1.20,3243.20,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,10.00,16.00,2123.79,2959.86,2123.39,835.67,0.80,3426.86,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,15.00,16.00,2148.88,2968.56,2148.68,819.48,0.40,3421.14,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,20.00,16.00,2153.82,2963.59,2153.62,809.57,0.40,3545.34,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,25.00,16.00,2157.11,2998.34,2156.71,840.83,0.80,3482.58,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,30.00,16.00,2155.65,3045.43,2155.25,889.38,0.80,3243.10,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,35.00,16.00,2156.89,3007.52,2156.69,850.43,0.40,3301.41,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,40.00,16.00,2153.79,2981.73,2153.39,827.54,0.80,3421.21,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,45.00,16.00,2158.41,2996.87,2158.21,838.26,0.40,3360.60,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,50.00,16.00,2153.84,2999.44,2153.44,845.20,0.80,3421.21,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,55.00,16.00,2152.67,3002.24,2152.47,849.37,0.40,3301.24,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_16_select,60.00,16.00,2155.09,3011.93,2154.69,856.44,0.80,3301.24,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_8_select,5.00,8.00,1901.45,2767.84,1906.05,860.59,1.20,3290.70,0.00,0.00
replication_db_mysql_master_slave_comb_sel_thr_8_select,10.00,8.00,1894.53,2763.63,1894.13,868.70,0.80,3235.20,0.00,0.00
