LogFile,CountValue
replication_comb_sel_thr_16_select_kunden,700
replication_comb_sel_thr_1_select_kunden,700
replication_comb_sel_thr_2_select_kunden,700
replication_comb_sel_thr_32_select_kunden,700
replication_comb_sel_thr_4_select_kunden,700
replication_comb_sel_thr_8_select_kunden,700
replication_comb_sel_thr_16_select_bestellung,2100
replication_comb_sel_thr_16_select_kundenmitbestellung,2100
replication_comb_sel_thr_1_select_bestellung,2100
replication_comb_sel_thr_1_select_kundenmitbestellung,2100
replication_comb_sel_thr_2_select_bestellung,2100
replication_comb_sel_thr_2_select_kundenmitbestellung,2100
replication_comb_sel_thr_32_select_bestellung,2100
replication_comb_sel_thr_32_select_kundenmitbestellung,2100
replication_comb_sel_thr_4_select_bestellung,2100
replication_comb_sel_thr_4_select_kundenmitbestellung,2100
replication_comb_sel_thr_8_select_bestellung,2100
replication_comb_sel_thr_8_select_kundenmitbestellung,2100
