Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
replication_comb_sel_thr_1_select,5.00,1.00,409.73,1257.98,410.13,846.65,1.20,3269.49,0.00,0.00
replication_comb_sel_thr_1_select,10.00,1.00,416.43,1340.30,416.03,923.47,0.80,3389.21,0.00,0.00
replication_comb_sel_thr_1_select,15.00,1.00,416.40,1318.81,416.20,902.21,0.40,2988.11,0.00,0.00
replication_comb_sel_thr_1_select,20.00,1.00,418.20,1318.20,417.80,899.60,0.80,3153.84,0.00,0.00
replication_comb_sel_thr_1_select,25.00,1.00,418.00,1260.60,417.80,842.40,0.40,3211.10,0.00,0.00
replication_comb_sel_thr_1_select,30.00,1.00,416.59,1278.19,416.19,861.20,0.80,3389.21,0.00,0.00
replication_comb_sel_thr_1_select,35.00,1.00,416.60,1262.80,416.40,846.00,0.40,3269.41,0.00,0.00
replication_comb_sel_thr_1_select,40.00,1.00,417.80,1312.21,417.40,894.01,0.80,3328.77,0.00,0.00
replication_comb_sel_thr_1_select,45.00,1.00,417.80,1259.00,417.40,840.80,0.80,3328.77,0.00,0.00
replication_comb_sel_thr_1_select,50.00,1.00,418.20,1303.19,418.00,884.79,0.40,3097.60,0.00,0.00
replication_comb_sel_thr_1_select,55.00,1.00,416.00,1255.81,415.60,839.41,0.80,3328.77,0.00,0.00
replication_comb_sel_thr_1_select,60.00,1.00,416.01,1337.61,415.81,921.40,0.40,3211.14,0.00,0.00
replication_comb_sel_thr_16_select,5.00,16.00,878.66,1750.69,888.06,861.43,1.20,3296.38,0.00,0.00
replication_comb_sel_thr_16_select,10.00,16.00,905.43,1745.11,905.03,839.28,0.80,3355.22,0.00,0.00
replication_comb_sel_thr_16_select,15.00,16.00,954.40,1810.59,954.20,855.99,0.40,3232.83,0.00,0.00
replication_comb_sel_thr_16_select,20.00,16.00,934.80,1788.00,934.40,852.80,0.80,3410.09,0.00,0.00
replication_comb_sel_thr_16_select,25.00,16.00,962.80,1927.61,962.60,964.61,0.40,2852.39,0.00,0.00
replication_comb_sel_thr_16_select,30.00,16.00,962.40,1804.41,962.00,841.61,0.80,3350.50,0.00,0.00
replication_comb_sel_thr_16_select,35.00,16.00,945.40,1829.79,945.20,884.19,0.40,3350.93,0.00,0.00
replication_comb_sel_thr_16_select,40.00,16.00,942.00,1898.60,941.60,956.20,0.80,3120.66,0.00,0.00
replication_comb_sel_thr_16_select,45.00,16.00,957.00,1916.60,956.60,959.20,0.80,2904.22,0.00,0.00
replication_comb_sel_thr_16_select,50.00,16.00,951.80,1846.80,951.60,894.80,0.40,3176.00,0.00,0.00
replication_comb_sel_thr_16_select,55.00,16.00,939.40,1791.60,939.00,851.80,0.80,3292.02,0.00,0.00
replication_comb_sel_thr_16_select,60.00,16.00,958.00,1831.40,957.80,873.20,0.40,3350.93,0.00,0.00
replication_comb_sel_thr_2_select,5.00,2.00,770.85,1713.86,771.85,940.81,1.20,2936.56,0.00,0.00
replication_comb_sel_thr_2_select,10.00,2.00,773.65,1646.94,773.25,872.89,0.80,3269.67,0.00,0.00
replication_comb_sel_thr_2_select,15.00,2.00,772.80,1725.41,772.60,952.41,0.40,2831.30,0.00,0.00
replication_comb_sel_thr_2_select,20.00,2.00,759.60,1645.80,759.20,885.80,0.80,3155.58,0.00,0.00
