LogFile,CountValue
replication_db_mysql_master_slave_select_port_3307_kunden,700
replication_db_mysql_master_slave_select_port_3308_kunden,700
replication_db_mysql_master_slave_select_port_3309_kunden,700
replication_db_mysql_master_slave_select_port_3310_kunden,700
replication_db_mysql_single_server_no_select_kunden,700
replication_db_mysql_master_slave_select_port_3307_bestellung,2100
replication_db_mysql_master_slave_select_port_3307_kundenmitbestellung,2100
replication_db_mysql_master_slave_select_port_3308_bestellung,2100
replication_db_mysql_master_slave_select_port_3308_kundenmitbestellung,2100
replication_db_mysql_master_slave_select_port_3309_bestellung,2100
replication_db_mysql_master_slave_select_port_3309_kundenmitbestellung,2100
replication_db_mysql_master_slave_select_port_3310_bestellung,2100
replication_db_mysql_master_slave_select_port_3310_kundenmitbestellung,2100
replication_db_mysql_single_server_no_select_bestellung,2100
replication_db_mysql_single_server_no_select_kundenmitbestellung,2100
