Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
replication_db_mysql_master_slave_select_with_port_3307,5.00,1.00,224.97,930.36,225.37,703.79,1.20,4059.88,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,5.00,1.00,229.56,934.95,229.96,703.79,1.20,4059.80,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,5.00,1.00,227.76,933.15,228.16,703.79,1.20,4059.80,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,5.00,1.00,227.55,932.94,227.95,703.79,1.20,4059.80,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,10.00,1.00,226.20,994.93,226.00,768.53,0.40,3579.64,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,10.00,1.00,230.62,999.35,230.42,768.53,0.40,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,10.00,1.00,227.82,996.55,227.62,768.53,0.40,3579.56,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,10.00,1.00,226.22,994.95,226.02,768.53,0.40,3579.56,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,15.00,1.00,227.41,998.41,227.01,770.60,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,15.00,1.00,230.81,1001.81,230.41,770.60,0.80,3710.57,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,15.00,1.00,227.60,998.60,227.20,770.60,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,15.00,1.00,228.80,999.80,228.40,770.60,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,20.00,1.00,226.80,990.22,226.60,763.22,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,20.00,1.00,229.20,992.62,229.00,763.22,0.40,3644.43,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,20.00,1.00,228.60,992.02,228.40,763.22,0.40,3644.43,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,20.00,1.00,226.80,990.22,226.60,763.22,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,25.00,1.00,226.80,996.17,226.60,769.17,0.40,3777.99,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,25.00,1.00,229.40,998.77,229.20,769.17,0.40,3777.91,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,25.00,1.00,228.61,997.98,228.41,769.17,0.40,3777.99,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,25.00,1.00,225.40,994.77,225.20,769.17,0.40,3777.99,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,30.00,1.00,229.80,979.39,229.40,749.19,0.80,3710.57,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,30.00,1.00,227.79,977.38,227.39,749.19,0.80,3710.57,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,30.00,1.00,229.40,978.99,229.00,749.19,0.80,3710.57,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,30.00,1.00,225.81,975.40,225.41,749.19,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,35.00,1.00,228.80,1013.61,228.60,784.61,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,35.00,1.00,228.20,1013.01,228.00,784.61,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,35.00,1.00,229.80,1014.61,229.60,784.61,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,35.00,1.00,227.59,1012.40,227.39,784.61,0.40,3644.51,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,40.00,1.00,230.40,1001.61,230.20,771.01,0.40,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,40.00,1.00,229.20,1000.41,229.00,771.01,0.40,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,40.00,1.00,228.80,1000.01,228.60,771.01,0.40,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,40.00,1.00,228.81,1000.02,228.61,771.01,0.40,3579.56,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,45.00,1.00,230.60,1011.19,230.20,780.19,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,45.00,1.00,228.00,1008.59,227.60,780.19,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,45.00,1.00,228.80,1009.39,228.40,780.19,0.80,3710.65,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,45.00,1.00,230.40,1010.99,230.00,780.19,0.80,3710.57,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,50.00,1.00,226.60,1024.77,226.40,797.97,0.40,3453.10,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,50.00,1.00,228.60,1026.77,228.40,797.97,0.40,3453.10,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,50.00,1.00,226.40,1024.57,226.20,797.97,0.40,3453.10,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,50.00,1.00,228.00,1026.17,227.80,797.97,0.40,3453.10,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3307,55.00,1.00,231.80,1015.22,231.40,783.02,0.80,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3308,55.00,1.00,229.80,1013.22,229.40,783.02,0.80,3579.48,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3309,55.00,1.00,228.60,1012.02,228.20,783.02,0.80,3579.56,0.00,0.00
replication_db_mysql_master_slave_select_with_port_3310,55.00,1.00,226.20,1009.62,225.80,783.02,0.80,3579.56,0.00,0.00
