Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
string_comb_typ_char_255_length_240_select,5.00,1.00,0.40,1021.13,1.00,52.98,1.40,2120.76,0.00,0.00
string_comb_typ_char_255_length_240_select,10.00,1.00,0.60,1028.15,0.80,52.01,0.80,9562.89,0.00,0.00
string_comb_typ_char_255_length_240_select,15.00,1.00,0.80,1014.22,0.80,51.80,1.20,8330.30,0.00,0.00
string_comb_typ_char_255_length_240_select,20.00,1.00,0.40,978.38,0.00,53.00,0.80,2238.47,0.00,0.00
string_comb_typ_char_255_length_240_select,25.00,1.00,0.80,1000.00,1.60,52.80,0.80,9505.78,0.00,0.00
string_comb_typ_char_255_length_240_select,30.00,1.00,0.80,999.41,0.80,50.80,1.20,8481.67,0.00,0.00
string_comb_typ_char_255_length_240_select,35.00,1.00,0.60,1008.78,0.80,52.40,0.80,7934.00,0.00,0.00
string_comb_typ_char_255_length_240_select,40.00,1.00,1.00,1039.01,1.60,51.40,1.20,5001.03,0.00,0.00
string_comb_typ_char_255_length_240_select,45.00,1.00,0.60,1041.42,0.80,53.20,0.80,4091.48,0.00,0.00
string_comb_typ_char_255_length_240_select,50.00,1.00,0.80,1026.38,0.80,52.60,1.20,8796.88,0.00,0.00
string_comb_typ_char_255_length_240_select,55.00,1.00,0.60,1046.81,0.80,53.20,0.80,5751.82,0.00,0.00
string_comb_typ_char_255_length_240_select,60.00,1.00,0.40,1050.00,0.00,52.80,0.80,2009.23,0.00,0.00
string_comb_typ_char_255_length_56_select,5.00,1.00,0.40,1168.57,1.00,61.79,1.40,1836.24,0.00,0.00
string_comb_typ_char_255_length_56_select,10.00,1.00,1.00,1170.11,1.60,61.61,1.20,8197.15,0.00,0.00
string_comb_typ_char_255_length_56_select,15.00,1.00,0.80,1173.40,0.80,59.00,1.20,5645.45,0.00,0.00
string_comb_typ_char_255_length_56_select,20.00,1.00,0.80,1176.01,0.80,64.00,1.20,9018.86,0.00,0.00
string_comb_typ_char_255_length_56_select,25.00,1.00,0.60,1171.39,0.80,63.40,0.80,3990.36,0.00,0.00
string_comb_typ_char_255_length_56_select,30.00,1.00,0.80,1172.00,0.80,61.60,1.20,7512.97,0.00,0.00
string_comb_typ_char_255_length_56_select,35.00,1.00,0.60,1167.61,0.00,62.40,1.20,1803.47,0.00,0.00
string_comb_typ_char_255_length_56_select,40.00,1.00,1.00,1173.60,1.60,62.60,1.20,9698.63,0.00,0.00
string_comb_typ_char_255_length_56_select,45.00,1.00,0.60,1180.99,0.80,62.40,0.80,9842.08,0.00,0.00
string_comb_typ_char_255_length_56_select,50.00,1.00,0.60,1235.81,0.00,62.80,1.20,1771.29,0.00,0.00
string_comb_typ_char_255_length_56_select,55.00,1.00,0.80,1220.80,0.80,61.20,1.20,9219.66,0.00,0.00
string_comb_typ_char_255_length_56_select,60.00,1.00,0.80,1219.20,0.80,60.80,1.20,6773.03,0.00,0.00
string_comb_typ_varchar_255_length_240_select,5.00,1.00,0.40,1098.80,1.00,48.99,1.40,1938.16,0.00,0.00
string_comb_typ_varchar_255_length_240_select,10.00,1.00,0.80,1105.49,0.80,50.20,1.20,9942.18,0.00,0.00
string_comb_typ_varchar_255_length_240_select,15.00,1.00,0.60,1090.00,0.80,50.20,0.80,8414.64,0.00,0.00
string_comb_typ_varchar_255_length_240_select,20.00,1.00,0.60,1091.59,0.00,49.80,1.20,1973.38,0.00,0.00
string_comb_typ_varchar_255_length_240_select,25.00,1.00,0.80,1072.40,1.60,47.80,0.80,9940.90,0.00,0.00
string_comb_typ_varchar_255_length_240_select,30.00,1.00,0.60,1106.81,0.00,49.40,1.20,1903.57,0.00,0.00
string_comb_typ_varchar_255_length_240_select,35.00,1.00,0.80,1123.78,0.80,50.00,1.20,8617.54,0.00,0.00
string_comb_typ_varchar_255_length_240_select,40.00,1.00,1.00,1128.01,1.60,49.60,1.20,7896.01,0.00,0.00
string_comb_typ_varchar_255_length_240_select,45.00,1.00,0.80,1107.80,1.60,49.60,0.80,4062.86,0.00,0.00
string_comb_typ_varchar_255_length_240_select,50.00,1.00,0.60,1076.60,0.00,50.00,1.20,1973.38,0.00,0.00
string_comb_typ_varchar_255_length_240_select,55.00,1.00,0.80,1127.60,1.60,48.00,0.80,8990.20,0.00,0.00
string_comb_typ_varchar_255_length_240_select,60.00,1.00,0.60,1142.01,0.00,49.40,1.20,1836.24,0.00,0.00
string_comb_typ_varchar_255_length_56_select,5.00,1.00,0.40,1236.75,1.00,57.19,1.40,1739.68,0.00,0.00
string_comb_typ_varchar_255_length_56_select,10.00,1.00,1.00,1238.92,1.60,58.61,1.20,8544.59,0.00,0.00
string_comb_typ_varchar_255_length_56_select,15.00,1.00,0.80,1228.80,0.80,59.40,1.20,5348.57,0.00,0.00
string_comb_typ_varchar_255_length_56_select,20.00,1.00,0.60,1237.20,0.00,59.20,1.20,1708.63,0.00,0.00
string_comb_typ_varchar_255_length_56_select,25.00,1.00,1.00,1236.81,1.60,58.00,1.20,9603.79,0.00,0.00
string_comb_typ_varchar_255_length_56_select,30.00,1.00,0.80,1238.60,0.80,58.00,1.20,7844.54,0.00,0.00
string_comb_typ_varchar_255_length_56_select,35.00,1.00,0.60,1239.80,0.00,58.60,1.20,1708.63,0.00,0.00
string_comb_typ_varchar_255_length_56_select,40.00,1.00,1.00,1232.99,1.60,59.00,1.20,10193.42,0.00,0.00
string_comb_typ_varchar_255_length_56_select,45.00,1.00,0.60,1230.40,0.00,58.60,1.20,1708.63,0.00,0.00
