Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
string_comb_typ_char_4_select,5.00,1.00,176.98,1744.10,706.50,1036.20,1.40,1944.04,0.00,0.00
string_comb_typ_char_4_select,10.00,1.00,177.41,1737.72,707.83,1028.69,1.20,1944.04,0.00,0.00
string_comb_typ_char_4_select,15.00,1.00,177.20,1742.40,706.79,1034.81,0.80,1979.26,0.00,0.00
string_comb_typ_char_4_select,20.00,1.00,177.60,1732.80,708.40,1023.20,1.20,1979.26,0.00,0.00
string_comb_typ_char_4_select,25.00,1.00,178.80,1751.61,713.61,1037.20,0.80,1979.26,0.00,0.00
string_comb_typ_char_4_select,30.00,1.00,177.00,1721.79,705.58,1015.01,1.20,1979.26,0.00,0.00
string_comb_typ_char_4_select,35.00,1.00,163.20,1668.99,650.60,1017.59,0.80,2017.97,0.00,0.00
string_comb_typ_char_4_select,40.00,1.00,177.00,1721.00,706.21,1013.59,1.20,1979.26,0.00,0.00
string_comb_typ_char_4_select,45.00,1.00,177.60,1720.19,707.79,1011.20,1.20,2015.11,0.00,0.00
string_comb_typ_char_4_select,50.00,1.00,176.60,1718.82,704.60,1013.42,0.80,2015.11,0.00,0.00
string_comb_typ_char_4_select,55.00,1.00,177.20,1727.39,706.80,1019.39,1.20,1979.26,0.00,0.00
string_comb_typ_char_4_select,60.00,1.00,177.00,1729.20,706.21,1022.19,0.80,2015.11,0.00,0.00
string_comb_typ_char_64_select,5.00,1.00,130.38,1545.31,520.73,1023.18,1.40,1981.36,0.00,0.00
string_comb_typ_char_64_select,10.00,1.00,131.20,1534.92,522.41,1011.31,1.20,2017.21,0.00,0.00
string_comb_typ_char_64_select,15.00,1.00,130.40,1526.19,519.80,1005.59,0.80,2017.21,0.00,0.00
string_comb_typ_char_64_select,20.00,1.00,131.40,1514.41,523.40,989.81,1.20,2017.07,0.00,0.00
string_comb_typ_char_64_select,25.00,1.00,129.80,1510.40,517.40,992.20,0.80,2017.21,0.00,0.00
string_comb_typ_char_64_select,30.00,1.00,131.20,1508.80,522.00,985.60,1.20,2053.58,0.00,0.00
string_comb_typ_char_64_select,35.00,1.00,130.00,1562.41,518.40,1043.21,0.80,1946.14,0.00,0.00
string_comb_typ_char_64_select,40.00,1.00,131.20,1559.19,522.99,1035.00,1.20,1981.22,0.00,0.00
string_comb_typ_char_64_select,45.00,1.00,130.00,1536.41,518.21,1017.40,0.80,2017.21,0.00,0.00
string_comb_typ_char_64_select,50.00,1.00,131.40,1566.01,523.41,1041.40,1.20,1981.36,0.00,0.00
string_comb_typ_char_64_select,55.00,1.00,130.40,1580.79,518.60,1060.99,1.20,1911.55,0.00,0.00
