Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
virtual_view_select,5.00,1.00,266.36,1968.49,1063.86,902.63,2.00,1380.49,0.00,0.00
virtual_view_select,10.00,1.00,269.60,2038.31,1075.22,961.49,1.60,1355.85,0.00,0.00
virtual_view_select,15.00,1.00,267.60,2001.40,1066.60,933.20,1.60,1308.03,0.00,0.00
virtual_view_select,20.00,1.00,269.80,2013.39,1076.60,935.19,1.60,1284.75,0.00,0.00
virtual_view_select,25.00,1.00,269.21,2008.82,1073.22,934.00,1.60,1355.85,0.00,0.00
virtual_view_select,30.00,1.00,269.99,2018.17,1076.57,940.00,1.60,1308.03,0.00,0.00
virtual_view_select,35.00,1.00,269.41,2033.81,1074.42,957.79,1.60,1308.03,0.00,0.00
virtual_view_select,40.00,1.00,269.80,2051.20,1075.99,973.61,1.60,1261.90,0.00,0.00
virtual_view_select,45.00,1.00,270.60,2010.59,1079.19,929.80,1.60,1331.73,0.00,0.00
virtual_view_select,50.00,1.00,270.80,2008.62,1080.42,926.60,1.60,1308.03,0.00,0.00
virtual_view_select,55.00,1.00,269.40,2007.19,1075.19,930.80,1.20,1308.03,0.00,0.00
virtual_view_select,60.00,1.00,269.60,2012.81,1075.40,935.81,1.60,1331.73,0.00,0.00
with_trigger_select,5.00,1.00,1048.04,4990.01,4190.17,797.84,2.00,1534.72,0.00,0.00
with_trigger_select,10.00,1.00,1046.63,4976.41,4183.93,791.28,1.20,1562.56,0.00,0.00
with_trigger_select,15.00,1.00,1046.82,4975.67,4185.08,789.39,1.20,1534.72,0.00,0.00
with_trigger_select,20.00,1.00,1055.20,5073.04,4217.42,854.02,1.60,1534.70,0.00,0.00
with_trigger_select,25.00,1.00,1058.20,5026.41,4231.01,794.20,1.20,1534.70,0.00,0.00
with_trigger_select,30.00,1.00,1052.59,5020.35,4206.56,812.19,1.60,1534.70,0.00,0.00
with_trigger_select,35.00,1.00,1051.19,5044.98,4202.58,841.20,1.20,1480.45,0.00,0.00
with_trigger_select,40.00,1.00,1058.81,5043.42,4231.84,810.18,1.40,1507.33,0.00,0.00
with_trigger_select,45.00,1.00,1049.98,5024.74,4197.52,825.82,1.40,1480.45,0.00,0.00
with_trigger_select,50.00,1.00,1052.21,5014.24,4206.64,806.40,1.20,1507.33,0.00,0.00
with_trigger_select,55.00,1.00,1041.61,4947.62,4163.42,782.60,1.60,1562.56,0.00,0.00
with_trigger_select,60.00,1.00,1049.21,4996.63,4194.43,801.00,1.20,1534.70,0.00,0.00
without_view_select,5.00,1.00,304.55,2129.23,1216.01,911.22,2.00,1331.27,0.00,0.00
without_view_select,10.00,1.00,307.01,2141.54,1225.45,914.49,1.60,1355.39,0.00,0.00
without_view_select,15.00,1.00,304.20,2103.02,1213.02,888.40,1.60,1430.44,0.00,0.00
without_view_select,20.00,1.00,307.81,2176.22,1228.62,946.00,1.60,1284.29,0.00,0.00
without_view_select,25.00,1.00,306.80,2167.79,1223.99,942.20,1.60,1331.27,0.00,0.00
without_view_select,30.00,1.00,307.20,2145.80,1226.00,918.60,1.20,1307.57,0.00,0.00
without_view_select,35.00,1.00,306.40,2137.00,1222.80,912.60,1.60,1355.39,0.00,0.00
without_view_select,40.00,1.00,306.80,2194.40,1224.00,968.80,1.60,1284.29,0.00,0.00
without_view_select,45.00,1.00,306.19,2212.17,1221.57,989.00,1.60,1238.98,0.00,0.00
without_view_select,50.00,1.00,306.00,2196.61,1220.21,974.80,1.60,1261.44,0.00,0.00
without_view_select,55.00,1.00,307.21,2193.62,1226.23,965.79,1.60,1307.57,0.00,0.00
without_view_select,60.00,1.00,306.80,2191.19,1223.59,966.00,1.60,1331.27,0.00,0.00
