Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_5000,4,8,2486.15,37594.43,7443.72,3842.68,26308.03,0.00,11.49,0.00,30150.71
with_index_5000,8,8,2516.49,38477.50,7531.96,3884.98,27060.56,0.00,4.25,0.00,30945.54
with_index_5000,12,8,2476.84,38129.69,7411.78,3907.58,26810.33,0.00,10.50,0.00,30717.91
with_index_5000,16,8,2484.22,38583.85,7434.16,3922.60,27227.09,0.00,4.50,0.00,31149.69
with_index_5000,20,8,2484.48,38523.00,7435.68,3919.53,27167.79,0.00,5.75,0.00,31087.32
with_index_5000,24,8,2479.54,38970.48,7420.38,4047.17,27502.93,0.00,14.50,0.00,31550.10
with_index_5000,28,8,2487.00,39313.68,7442.25,3982.43,27889.00,0.00,0.00,0.00,31871.43
with_index_50000,4,8,267.65,33382.01,805.71,4090.65,28485.65,0.00,2.00,0.00,32576.30
with_index_50000,8,8,272.63,34212.26,816.90,4174.42,29220.94,0.00,0.00,0.00,33395.36
with_index_50000,12,8,270.83,34152.33,813.99,4167.29,29171.05,0.00,0.00,0.00,33338.34
with_index_50000,16,8,274.58,27624.09,816.99,3374.13,23432.97,0.00,5.00,0.00,26807.10
with_index_50000,20,8,271.19,33969.13,813.58,4144.44,29011.11,0.00,0.00,0.00,33155.55
with_index_50000,24,8,271.00,33708.36,813.24,4111.89,28783.23,0.00,0.00,0.00,32895.12
with_index_50000,28,8,273.25,27775.25,813.26,3389.41,23572.58,0.00,4.25,0.00,26961.99
with_index_50000,32,8,270.13,34389.53,811.15,4197.30,29381.08,0.00,0.00,0.00,33578.38
without_index_5000,4,8,1235.84,36732.36,3691.01,4198.10,28843.25,0.00,11.75,0.00,33041.35
without_index_5000,8,8,1250.79,37169.82,3735.40,4203.00,29231.42,0.00,4.75,0.00,33434.42
without_index_5000,12,8,1250.97,37065.45,3734.37,4209.55,29121.53,0.00,10.01,0.00,33331.08
without_index_5000,16,8,1253.99,36461.49,3737.71,4154.61,28569.17,0.00,10.25,0.00,32723.78
without_index_5000,20,8,1248.78,37037.38,3728.83,4290.03,29018.52,0.00,14.76,0.00,33308.55
without_index_5000,24,8,1250.55,37008.28,3733.89,4231.92,29042.47,0.00,13.00,0.00,33274.39
without_index_5000,28,8,1253.45,36453.30,3735.35,4226.25,28491.70,0.00,17.50,0.00,32717.95
without_index_5000,32,8,1248.98,36997.93,3728.43,4198.59,29070.91,0.00,8.25,0.00,33269.50
without_index_50000,4,8,128.32,33926.51,387.46,4214.29,29324.76,0.00,3.25,0.00,33539.05
without_index_50000,8,8,131.38,35016.77,393.39,4327.89,30295.49,0.00,0.00,0.00,34623.38
without_index_50000,12,8,132.88,32238.66,392.65,3982.25,27863.76,0.00,1.75,0.00,31846.01
without_index_50000,16,8,131.09,33014.22,393.52,4094.50,28526.20,0.00,2.75,0.00,32620.70
without_index_50000,20,8,130.95,34314.56,392.34,4240.28,29681.94,0.00,0.00,0.00,33922.22
without_index_50000,24,8,132.22,33876.52,391.90,4185.33,29299.30,0.00,0.00,0.00,33484.62
without_index_50000,28,8,131.24,31425.65,392.73,3895.49,27137.43,0.00,4.00,0.00,31032.92
without_index_50000,32,8,129.51,35150.83,388.77,4345.26,30416.81,0.00,0.00,0.00,34762.06
