Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_5000_insert,4,8,5.99,30150.71,0.00,3842.68,26308.03,0.00,11.49,0.00
with_index_5000_insert,8,8,6.00,30945.54,0.00,3884.98,27060.56,0.00,4.25,0.00
with_index_5000_insert,12,8,6.00,30717.91,0.00,3907.58,26810.33,0.00,10.50,0.00
with_index_5000_insert,16,8,6.00,31149.69,0.00,3922.60,27227.09,0.00,4.50,0.00
with_index_5000_insert,20,8,6.00,31087.32,0.00,3919.53,27167.79,0.00,5.75,0.00
with_index_5000_insert,24,8,6.00,31550.10,0.00,4047.17,27502.93,0.00,14.50,0.00
with_index_5000_insert,28,8,6.00,31871.43,0.00,3982.43,27889.00,0.00,0.00,0.00
with_index_5000_insert,32,8,6.00,32013.20,0.00,4040.78,27972.42,0.00,5.25,0.00
with_index_5000_select,4,8,2480.16,7443.72,7443.72,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,8,8,2510.49,7531.96,7531.96,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,12,8,2470.84,7411.78,7411.78,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,16,8,2478.22,7434.16,7434.16,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,20,8,2478.48,7435.68,7435.68,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,24,8,2473.54,7420.38,7420.38,0.00,0.00,0.00,0.00,0.00
with_index_5000_select,28,8,2481.00,7442.25,7442.25,0.00,0.00,0.00,0.00,0.00
with_index_50000_insert,4,8,0.00,32576.30,0.00,4090.65,28485.65,0.00,2.00,0.00
with_index_50000_insert,8,8,0.00,33395.36,0.00,4174.42,29220.94,0.00,0.00,0.00
with_index_50000_insert,12,8,0.00,33338.34,0.00,4167.29,29171.05,0.00,0.00,0.00
with_index_50000_insert,16,8,2.00,26807.10,0.00,3374.13,23432.97,0.00,5.00,0.00
with_index_50000_insert,20,8,0.00,33155.55,0.00,4144.44,29011.11,0.00,0.00,0.00
with_index_50000_insert,24,8,0.00,32895.12,0.00,4111.89,28783.23,0.00,0.00,0.00
with_index_50000_insert,28,8,2.00,26961.99,0.00,3389.41,23572.58,0.00,4.25,0.00
with_index_50000_insert,32,8,0.00,33578.38,0.00,4197.30,29381.08,0.00,0.00,0.00
with_index_50000_insert,36,8,0.00,33615.44,0.00,4201.93,29413.51,0.00,0.00,0.00
with_index_50000_select,4,8,267.65,805.71,805.71,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,8,8,272.63,816.90,816.90,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,12,8,270.83,813.99,813.99,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,16,8,272.58,816.99,816.99,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,20,8,271.19,813.58,813.58,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,24,8,271.00,813.24,813.24,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,28,8,271.25,813.26,813.26,0.00,0.00,0.00,0.00,0.00
with_index_50000_select,32,8,270.13,811.15,811.15,0.00,0.00,0.00,0.00,0.00
without_index_5000_insert,4,8,6.00,33041.35,0.00,4198.10,28843.25,0.00,11.75,0.00
without_index_5000_insert,8,8,5.99,33434.42,0.00,4203.00,29231.42,0.00,4.75,0.00
without_index_5000_insert,12,8,6.01,33331.08,0.00,4209.55,29121.53,0.00,10.01,0.00
without_index_5000_insert,16,8,8.00,32723.78,0.00,4154.61,28569.17,0.00,10.25,0.00
without_index_5000_insert,20,8,6.00,33308.55,0.00,4290.03,29018.52,0.00,14.76,0.00
without_index_5000_insert,24,8,6.00,33274.39,0.00,4231.92,29042.47,0.00,13.00,0.00
without_index_5000_insert,28,8,8.00,32717.95,0.00,4226.25,28491.70,0.00,17.50,0.00
without_index_5000_insert,32,8,6.00,33269.50,0.00,4198.59,29070.91,0.00,8.25,0.00
without_index_5000_select,4,8,1229.84,3691.01,3691.01,0.00,0.00,0.00,0.00,0.00
without_index_5000_select,8,8,1244.80,3735.40,3735.40,0.00,0.00,0.00,0.00,0.00
without_index_5000_select,12,8,1244.96,3734.37,3734.37,0.00,0.00,0.00,0.00,0.00
without_index_5000_select,16,8,1245.99,3737.71,3737.71,0.00,0.00,0.00,0.00,0.00
without_index_5000_select,20,8,1242.78,3728.83,3728.83,0.00,0.00,0.00,0.00,0.00
without_index_5000_select,24,8,1244.55,3733.89,3733.89,0.00,0.00,0.00,0.00,0.00
