Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,4,8,22920.02,86794.64,63553.58,4508.08,18732.98,0.00,635.16,0.00,23241.06
with_index_10,8,8,23429.91,90855.03,64315.84,5187.83,21351.36,0.00,704.29,0.00,26539.19
with_index_10,12,8,23377.85,90834.51,64058.89,5036.87,21738.75,0.00,668.77,0.00,26775.62
with_index_10,16,8,23218.17,90019.96,63787.39,5210.97,21021.60,0.00,726.89,0.00,26232.57
with_index_10,20,8,23450.40,90372.11,64635.91,5254.70,20481.49,0.00,759.35,0.00,25736.20
with_index_10,24,8,23535.72,91238.75,64638.49,5139.53,21460.73,0.00,711.65,0.00,26600.26
with_index_10,28,8,23617.79,91713.20,64708.24,5101.82,21903.14,0.00,660.54,0.00,27004.96
with_index_50,4,8,18962.96,84656.62,55276.95,4507.71,24871.96,0.00,165.39,0.00,29379.67
with_index_50,8,8,19409.22,86611.08,56551.29,4375.80,25683.99,0.00,115.31,0.00,30059.79
with_index_50,12,8,19179.26,85788.48,55884.72,4525.07,25378.69,0.00,132.38,0.00,29903.76
with_index_50,16,8,19572.55,87122.99,57069.92,4488.78,25564.29,0.00,148.54,0.00,30053.07
with_index_50,20,8,19110.08,85820.04,55643.18,4354.12,25822.74,0.00,122.00,0.00,30176.86
with_index_50,24,8,19343.10,86652.45,56353.10,4397.27,25902.08,0.00,126.32,0.00,30299.35
with_index_50,28,8,19270.21,86563.49,56099.83,4248.65,26215.01,0.00,116.90,0.00,30463.66
without_index_10,4,8,23427.99,90507.97,64313.82,4899.78,21294.37,0.00,638.16,0.00,26194.15
without_index_10,8,8,24027.57,93077.24,65871.09,5035.90,22170.25,0.00,643.07,0.00,27206.15
without_index_10,12,8,23878.15,92123.95,65591.35,4982.84,21549.76,0.00,645.46,0.00,26532.60
without_index_10,16,8,24270.84,93452.57,66739.13,4991.21,21722.23,0.00,665.96,0.00,26713.44
without_index_10,20,8,23829.25,92599.40,65296.74,5209.79,22092.87,0.00,692.47,0.00,27302.66
without_index_10,24,8,23943.94,93620.51,65356.01,5120.36,23144.14,0.00,638.48,0.00,28264.50
without_index_10,28,8,23825.38,91766.59,65570.28,5124.99,21071.31,0.00,686.85,0.00,26196.31
without_index_50,4,8,18732.10,85637.54,54440.62,4341.69,26855.23,0.00,113.73,0.00,31196.92
without_index_50,8,8,18984.48,86642.72,55188.57,4597.09,26857.05,0.00,123.71,0.00,31454.15
without_index_50,12,8,18438.90,84913.81,53572.13,4606.91,26734.78,0.00,127.06,0.00,31341.68
without_index_50,16,8,18975.89,86550.01,55184.24,4614.62,26751.15,0.00,148.47,0.00,31365.77
without_index_50,20,8,18616.70,85428.36,54117.88,4687.17,26623.30,0.00,158.75,0.00,31310.48
without_index_50,24,8,18854.78,86257.23,54822.44,4597.53,26837.26,0.00,131.53,0.00,31434.79
without_index_50,28,8,18767.23,86036.43,54549.70,4620.02,26866.72,0.00,133.69,0.00,31486.73
