Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,4,8,1735.99,23241.06,0.00,4508.08,18732.98,0.00,635.16,0.00
with_index_10_insert,8,8,1991.63,26539.19,0.00,5187.83,21351.36,0.00,704.29,0.00
with_index_10_insert,12,8,2024.80,26775.62,0.00,5036.87,21738.75,0.00,668.77,0.00
with_index_10_insert,16,8,1955.46,26232.57,0.00,5210.97,21021.60,0.00,726.89,0.00
with_index_10_insert,20,8,1905.26,25736.20,0.00,5254.70,20481.49,0.00,759.35,0.00
with_index_10_insert,24,8,1989.72,26600.26,0.00,5139.53,21460.73,0.00,711.65,0.00
with_index_10_insert,28,8,2048.38,27004.96,0.00,5101.82,21903.14,0.00,660.54,0.00
with_index_10_insert,32,8,2081.77,27260.21,0.00,5004.79,22255.42,0.00,648.26,0.00
with_index_10_select,4,8,21184.03,63553.58,63553.58,0.00,0.00,0.00,0.00,0.00
with_index_10_select,8,8,21438.28,64315.84,64315.84,0.00,0.00,0.00,0.00,0.00
with_index_10_select,12,8,21353.05,64058.89,64058.89,0.00,0.00,0.00,0.00,0.00
with_index_10_select,16,8,21262.71,63787.39,63787.39,0.00,0.00,0.00,0.00,0.00
with_index_10_select,20,8,21545.14,64635.91,64635.91,0.00,0.00,0.00,0.00,0.00
with_index_10_select,24,8,21546.00,64638.49,64638.49,0.00,0.00,0.00,0.00,0.00
with_index_10_select,28,8,21569.41,64708.24,64708.24,0.00,0.00,0.00,0.00,0.00
with_index_50_insert,4,8,538.14,29379.67,0.00,4507.71,24871.96,0.00,165.39,0.00
with_index_50_insert,8,8,558.54,30059.79,0.00,4375.80,25683.99,0.00,115.31,0.00
with_index_50_insert,12,8,551.02,29903.76,0.00,4525.07,25378.69,0.00,132.38,0.00
with_index_50_insert,16,8,549.66,30053.07,0.00,4488.78,25564.29,0.00,148.54,0.00
with_index_50_insert,20,8,562.02,30176.86,0.00,4354.12,25822.74,0.00,122.00,0.00
with_index_50_insert,24,8,558.57,30299.35,0.00,4397.27,25902.08,0.00,126.32,0.00
with_index_50_insert,28,8,570.77,30463.66,0.00,4248.65,26215.01,0.00,116.90,0.00
with_index_50_insert,32,8,548.44,29954.68,0.00,4608.43,25346.25,0.00,155.62,0.00
with_index_50_select,4,8,18424.82,55276.95,55276.95,0.00,0.00,0.00,0.00,0.00
with_index_50_select,8,8,18850.68,56551.29,56551.29,0.00,0.00,0.00,0.00,0.00
with_index_50_select,12,8,18628.24,55884.72,55884.72,0.00,0.00,0.00,0.00,0.00
with_index_50_select,16,8,19022.89,57069.92,57069.92,0.00,0.00,0.00,0.00,0.00
with_index_50_select,20,8,18548.06,55643.18,55643.18,0.00,0.00,0.00,0.00,0.00
with_index_50_select,24,8,18784.53,56353.10,56353.10,0.00,0.00,0.00,0.00,0.00
with_index_50_select,28,8,18699.44,56099.83,56099.83,0.00,0.00,0.00,0.00,0.00
without_index_10_insert,4,8,1990.71,26194.15,0.00,4899.78,21294.37,0.00,638.16,0.00
without_index_10_insert,8,8,2070.37,27206.15,0.00,5035.90,22170.25,0.00,643.07,0.00
without_index_10_insert,12,8,2014.20,26532.60,0.00,4982.84,21549.76,0.00,645.46,0.00
without_index_10_insert,16,8,2024.63,26713.44,0.00,4991.21,21722.23,0.00,665.96,0.00
without_index_10_insert,20,8,2063.42,27302.66,0.00,5209.79,22092.87,0.00,692.47,0.00
without_index_10_insert,24,8,2159.19,28264.50,0.00,5120.36,23144.14,0.00,638.48,0.00
without_index_10_insert,28,8,1968.54,26196.31,0.00,5124.99,21071.31,0.00,686.85,0.00
without_index_10_insert,32,8,2052.57,26959.83,0.00,5023.84,21935.99,0.00,638.29,0.00
without_index_10_select,4,8,21437.28,64313.82,64313.82,0.00,0.00,0.00,0.00,0.00
without_index_10_select,8,8,21957.20,65871.09,65871.09,0.00,0.00,0.00,0.00,0.00
without_index_10_select,12,8,21863.95,65591.35,65591.35,0.00,0.00,0.00,0.00,0.00
without_index_10_select,16,8,22246.21,66739.13,66739.13,0.00,0.00,0.00,0.00,0.00
without_index_10_select,20,8,21765.83,65296.74,65296.74,0.00,0.00,0.00,0.00,0.00
without_index_10_select,24,8,21784.75,65356.01,65356.01,0.00,0.00,0.00,0.00,0.00
without_index_10_select,28,8,21856.84,65570.28,65570.28,0.00,0.00,0.00,0.00,0.00
without_index_50_insert,4,8,585.64,31196.92,0.00,4341.69,26855.23,0.00,113.73,0.00
without_index_50_insert,8,8,588.54,31454.15,0.00,4597.09,26857.05,0.00,123.71,0.00
without_index_50_insert,12,8,581.52,31341.68,0.00,4606.91,26734.78,0.00,127.06,0.00
without_index_50_insert,16,8,581.14,31365.77,0.00,4614.62,26751.15,0.00,148.47,0.00
without_index_50_insert,20,8,576.99,31310.48,0.00,4687.17,26623.30,0.00,158.75,0.00
without_index_50_insert,24,8,581.13,31434.79,0.00,4597.53,26837.26,0.00,131.53,0.00
without_index_50_insert,28,8,584.00,31486.73,0.00,4620.02,26866.72,0.00,133.69,0.00
