Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
select_range_from_left_index,4,8,28246.59,59418.40,28232.61,3973.44,27212.35,0.00,12.73,0.00,31185.79
select_range_from_left_index,8,8,26513.47,58641.87,26497.45,4068.80,28075.62,0.00,9.01,0.00,32144.42
select_range_from_left_index,12,8,30991.82,59637.91,30977.82,3620.29,25039.80,0.00,6.00,0.00,28660.09
select_range_from_left_index,16,8,31152.70,53064.52,31140.71,2832.15,19091.66,0.00,13.74,0.00,21923.81
select_range_from_left_index,20,8,32767.48,54832.74,32757.47,2783.52,19291.75,0.00,5.50,0.00,22075.27
select_range_from_left_index,24,8,32599.83,57855.51,32585.83,3236.21,22033.47,0.00,10.00,0.00,25269.68
select_range_from_left_index,28,8,33010.22,56075.73,33000.22,2882.10,20193.42,0.00,0.00,0.00,23075.51
select_range_from_left_index,32,8,34150.44,63403.49,34134.44,3764.82,25504.23,0.00,14.25,0.00,29269.05
select_range_from_right_index,4,8,8730.13,39901.94,8716.15,3973.44,27212.35,0.00,12.73,0.00,31185.79
select_range_from_right_index,8,8,8812.50,40940.90,8796.48,4068.80,28075.62,0.00,9.01,0.00,32144.42
select_range_from_right_index,12,8,8263.31,36909.40,8249.31,3620.29,25039.80,0.00,6.00,0.00,28660.09
select_range_from_right_index,16,8,8471.60,30383.42,8459.61,2832.15,19091.66,0.00,13.74,0.00,21923.81
select_range_from_right_index,20,8,8518.99,30584.25,8508.98,2783.52,19291.75,0.00,5.50,0.00,22075.27
select_range_from_right_index,24,8,8718.01,33973.69,8704.01,3236.21,22033.47,0.00,10.00,0.00,25269.68
select_range_from_right_index,28,8,8846.30,31911.81,8836.30,2882.10,20193.42,0.00,0.00,0.00,23075.51
