Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,4,8,13.98,31185.79,0.00,3973.44,27212.35,0.00,12.73,0.00
query_differences_insert,8,8,16.02,32144.42,0.00,4068.80,28075.62,0.00,9.01,0.00
query_differences_insert,12,8,14.00,28660.09,0.00,3620.29,25039.80,0.00,6.00,0.00
query_differences_insert,16,8,11.99,21923.81,0.00,2832.15,19091.66,0.00,13.74,0.00
query_differences_insert,20,8,10.01,22075.27,0.00,2783.52,19291.75,0.00,5.50,0.00
query_differences_insert,24,8,14.00,25269.68,0.00,3236.21,22033.47,0.00,10.00,0.00
query_differences_insert,28,8,10.00,23075.51,0.00,2882.10,20193.42,0.00,0.00,0.00
query_differences_insert,32,8,16.00,29269.05,0.00,3764.82,25504.23,0.00,14.25,0.00
query_differences_select_range_from_left_index,4,8,28232.61,28232.61,28232.61,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,8,8,26497.45,26497.45,26497.45,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,12,8,30977.82,30977.82,30977.82,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,16,8,31140.71,31140.71,31140.71,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,20,8,32757.47,32757.47,32757.47,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,24,8,32585.83,32585.83,32585.83,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,28,8,33000.22,33000.22,33000.22,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_left_index,32,8,34134.44,34134.44,34134.44,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,4,8,8716.15,8716.15,8716.15,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,8,8,8796.48,8796.48,8796.48,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,12,8,8249.31,8249.31,8249.31,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,16,8,8459.61,8459.61,8459.61,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,20,8,8508.98,8508.98,8508.98,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,24,8,8704.01,8704.01,8704.01,0.00,0.00,0.00,0.00,0.00
query_differences_select_range_from_right_index,28,8,8836.30,8836.30,8836.30,0.00,0.00,0.00,0.00,0.00
