Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,4,8,9531.66,48973.12,9519.67,4935.96,34517.49,0.00,0.00,0.00,39453.45
combined_match_with_range,8,8,9658.47,53940.15,9644.48,5535.43,38760.24,0.00,0.00,0.00,44295.67
combined_match_with_range,12,8,9636.19,53931.33,9620.19,5536.02,38775.13,0.00,0.00,0.00,44311.14
combined_match_with_range,16,8,9668.48,53677.38,9654.48,5499.24,38523.66,0.00,0.00,0.00,44022.90
combined_match_with_range,20,8,9664.54,53762.41,9648.54,5510.27,38603.61,0.00,0.00,0.00,44113.87
combined_match_with_range,24,8,9653.02,53774.56,9639.02,5513.44,38622.09,0.00,0.00,0.00,44135.54
combined_match_with_range,28,8,9665.55,54178.79,9651.54,5562.43,38964.81,0.00,0.00,0.00,44527.25
combined_match_with_range,32,8,9665.03,54153.19,9649.02,5560.14,38944.02,0.00,0.00,0.00,44504.17
full_match,4,8,58598.45,98039.91,58586.46,4935.96,34517.49,0.00,0.00,0.00,39453.45
full_match,8,8,59250.49,103532.17,59236.50,5535.43,38760.24,0.00,0.00,0.00,44295.67
full_match,12,8,59169.56,103464.70,59153.56,5536.02,38775.13,0.00,0.00,0.00,44311.14
full_match,16,8,59345.05,103353.95,59331.05,5499.24,38523.66,0.00,0.00,0.00,44022.90
full_match,20,8,59188.63,103286.75,59172.88,5510.27,38603.61,0.00,0.00,0.00,44113.87
full_match,24,8,59305.06,103426.35,59290.81,5513.44,38622.09,0.00,0.00,0.00,44135.54
full_match,28,8,59264.65,103777.89,59250.64,5562.43,38964.81,0.00,0.00,0.00,44527.25
leftmost_prefix,4,8,8577.46,48018.92,8565.47,4935.96,34517.49,0.00,0.00,0.00,39453.45
leftmost_prefix,8,8,8623.14,52904.82,8609.15,5535.43,38760.24,0.00,0.00,0.00,44295.67
leftmost_prefix,12,8,8682.53,52977.67,8666.53,5536.02,38775.13,0.00,0.00,0.00,44311.14
leftmost_prefix,16,8,8674.44,52683.34,8660.44,5499.24,38523.66,0.00,0.00,0.00,44022.90
leftmost_prefix,20,8,8661.47,52759.34,8645.47,5510.27,38603.61,0.00,0.00,0.00,44113.87
leftmost_prefix,24,8,8606.21,52727.75,8592.21,5513.44,38622.09,0.00,0.00,0.00,44135.54
leftmost_prefix,28,8,8668.58,53181.82,8654.57,5562.43,38964.81,0.00,0.00,0.00,44527.25
partial_match_range_query,4,8,9229.16,48670.62,9217.17,4935.96,34517.49,0.00,0.00,0.00,39453.45
partial_match_range_query,8,8,9351.64,53633.32,9337.65,5535.43,38760.24,0.00,0.00,0.00,44295.67
partial_match_range_query,12,8,9348.71,53643.85,9332.71,5536.02,38775.13,0.00,0.00,0.00,44311.14
partial_match_range_query,16,8,9346.32,53355.22,9332.32,5499.24,38523.66,0.00,0.00,0.00,44022.90
partial_match_range_query,20,8,9317.77,53415.64,9301.77,5510.27,38603.61,0.00,0.00,0.00,44113.87
partial_match_range_query,24,8,9346.68,53468.22,9332.68,5513.44,38622.09,0.00,0.00,0.00,44135.54
partial_match_range_query,28,8,9334.92,53848.41,9321.16,5562.43,38964.81,0.00,0.00,0.00,44527.25
