Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,4,8,11.99,39453.45,0.00,4935.96,34517.49,0.00,0.00,0.00
query_differences_insert,8,8,13.99,44295.67,0.00,5535.43,38760.24,0.00,0.00,0.00
query_differences_insert,12,8,16.00,44311.14,0.00,5536.02,38775.13,0.00,0.00,0.00
query_differences_insert,16,8,14.00,44022.90,0.00,5499.24,38523.66,0.00,0.00,0.00
query_differences_insert,20,8,16.00,44113.87,0.00,5510.27,38603.61,0.00,0.00,0.00
query_differences_insert,24,8,14.00,44135.54,0.00,5513.44,38622.09,0.00,0.00,0.00
query_differences_insert,28,8,14.01,44527.25,0.00,5562.43,38964.81,0.00,0.00,0.00
query_differences_insert,32,8,16.01,44504.17,0.00,5560.14,38944.02,0.00,0.00,0.00
query_differences_select_combined_match_with_range,4,8,9519.67,9519.67,9519.67,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,8,8,9644.48,9644.48,9644.48,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,12,8,9620.19,9620.19,9620.19,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,16,8,9654.48,9654.48,9654.48,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,20,8,9648.54,9648.54,9648.54,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,24,8,9639.02,9639.02,9639.02,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,28,8,9651.54,9651.54,9651.54,0.00,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,32,8,9649.02,9649.02,9649.02,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,4,8,58586.46,58586.46,58586.46,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,8,8,59236.50,59236.50,59236.50,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,12,8,59153.56,59153.56,59153.56,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,16,8,59331.05,59331.05,59331.05,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,20,8,59172.63,59172.88,59172.88,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,24,8,59291.06,59290.81,59290.81,0.00,0.00,0.00,0.00,0.00
query_differences_select_full_match,28,8,59250.64,59250.64,59250.64,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,4,8,8565.47,8565.47,8565.47,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,8,8,8609.15,8609.15,8609.15,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,12,8,8666.53,8666.53,8666.53,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,16,8,8660.44,8660.44,8660.44,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,20,8,8645.47,8645.47,8645.47,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,24,8,8592.21,8592.21,8592.21,0.00,0.00,0.00,0.00,0.00
query_differences_select_leftmost_prefix,28,8,8654.57,8654.57,8654.57,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,4,8,9217.17,9217.17,9217.17,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,8,8,9337.65,9337.65,9337.65,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,12,8,9332.71,9332.71,9332.71,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,16,8,9332.32,9332.32,9332.32,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,20,8,9301.77,9301.77,9301.77,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,24,8,9332.68,9332.68,9332.68,0.00,0.00,0.00,0.00,0.00
query_differences_select_partial_match_range_query,28,8,9320.91,9321.16,9321.16,0.00,0.00,0.00,0.00,0.00
