Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
int_queries,4,8,488.07,34043.11,488.07,4205.10,29349.94,0.00,3.75,0.00,33555.04
int_queries,8,8,499.04,33721.36,497.04,4175.70,29048.62,0.00,5.00,0.00,33224.32
int_queries,12,8,498.98,33924.45,496.98,4241.34,29186.13,0.00,14.00,0.00,33427.47
int_queries,16,8,498.68,34384.23,496.68,4289.28,29598.26,0.00,7.75,0.00,33887.55
int_queries,20,8,498.77,36084.65,498.77,4448.23,31137.64,0.00,0.00,0.00,35585.88
int_queries,24,8,499.65,34104.44,497.65,4255.13,29351.65,0.00,9.01,0.00,33606.79
int_queries,28,8,499.83,30899.51,497.83,3850.70,26550.98,0.00,6.25,0.00,30401.68
int_queries,32,8,499.29,34016.58,497.29,4314.29,29205.01,0.00,10.50,0.00,33519.29
varchar_queries_1,4,8,417.67,34620.84,417.67,4274.40,29928.77,0.00,0.00,0.00,34203.17
varchar_queries_1,8,8,427.47,33681.13,425.47,4209.58,29046.08,0.00,12.51,0.00,33255.66
varchar_queries_1,12,8,426.40,34639.41,424.40,4284.00,29931.01,0.00,3.00,0.00,34215.01
varchar_queries_1,16,8,427.31,33671.69,425.31,4180.86,29065.52,0.00,6.75,0.00,33246.38
varchar_queries_1,20,8,424.59,34959.90,424.59,4316.91,30218.40,0.00,0.00,0.00,34535.31
varchar_queries_1,24,8,424.85,34032.26,422.85,4223.01,29386.40,0.00,6.76,0.00,33609.41
varchar_queries_1,28,8,427.05,34458.07,425.05,4280.18,29752.83,0.00,4.00,0.00,34033.02
varchar_queries_1,32,8,426.52,34049.45,424.52,4228.93,29396.00,0.00,6.75,0.00,33624.93
varchar_queries_64,4,8,372.48,26618.89,372.48,9225.43,17020.97,0.00,15.25,0.00,26246.41
varchar_queries_64,8,8,379.87,25091.71,379.87,10329.75,14382.09,0.00,1.00,0.00,24711.84
varchar_queries_64,12,8,379.97,24453.98,378.97,9461.08,14613.92,0.00,2.75,0.00,24075.01
varchar_queries_64,16,8,379.32,23522.64,378.82,10623.76,12520.07,0.00,0.50,0.00,23143.82
varchar_queries_64,20,8,381.07,24146.29,379.57,9768.83,13997.89,0.00,2.75,0.00,23766.72
varchar_queries_64,24,8,379.75,24313.07,379.25,10145.97,13787.85,0.00,2.00,0.00,23933.82
varchar_queries_64,28,8,379.51,24226.61,378.51,10355.94,13492.16,0.00,1.75,0.00,23848.10
varchar_queries_64,32,8,368.11,24356.11,367.61,9785.37,14203.13,0.00,2.00,0.00,23988.50
