Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_queries_insert,3,8,0.00,31305.41,0.00,4034.04,27271.37,0.00,16.65,0.00
int_queries_insert,6,8,2.67,32216.96,0.00,4131.14,28085.82,0.00,14.01,0.00
int_queries_insert,9,8,0.00,33678.26,0.00,4209.78,29468.47,0.00,0.00,0.00
int_queries_insert,12,8,2.67,32948.75,0.00,4247.16,28701.59,0.00,21.00,0.00
int_queries_insert,15,8,0.00,35293.30,0.00,4411.66,30881.64,0.00,0.00,0.00
int_queries_insert,18,8,2.67,32708.56,0.00,4193.17,28515.39,0.00,16.00,0.00
int_queries_insert,21,8,0.00,35308.00,0.00,4413.50,30894.50,0.00,0.00,0.00
int_queries_select,3,8,481.12,481.12,481.12,0.00,0.00,0.00,0.00,0.00
int_queries_select,6,8,489.64,489.64,489.64,0.00,0.00,0.00,0.00,0.00
int_queries_select,9,8,487.05,487.05,487.05,0.00,0.00,0.00,0.00,0.00
int_queries_select,12,8,486.43,486.43,486.43,0.00,0.00,0.00,0.00,0.00
int_queries_select,15,8,482.96,482.96,482.96,0.00,0.00,0.00,0.00,0.00
int_queries_select,18,8,412.22,412.22,412.22,0.00,0.00,0.00,0.00,0.00
int_queries_select,21,8,468.37,468.37,468.37,0.00,0.00,0.00,0.00,0.00
varchar_queries_insert,3,8,0.00,32403.46,0.00,4115.96,28287.50,0.00,9.33,0.00
varchar_queries_insert,6,8,2.66,32718.61,0.00,4123.48,28595.13,0.00,6.32,0.00
varchar_queries_insert,9,8,0.00,34856.88,0.00,4356.86,30500.02,0.00,0.00,0.00
varchar_queries_insert,12,8,2.67,32818.81,0.00,4129.43,28689.37,0.00,9.00,0.00
varchar_queries_insert,15,8,0.00,34139.49,0.00,4267.44,29872.06,0.00,0.00,0.00
varchar_queries_insert,18,8,2.67,32473.21,0.00,4091.57,28381.64,0.00,8.33,0.00
varchar_queries_insert,21,8,0.00,35103.08,0.00,4387.89,30715.20,0.00,0.00,0.00
varchar_queries_select,3,8,415.90,415.90,415.90,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,6,8,424.31,424.31,424.31,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,9,8,423.57,423.57,423.57,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,12,8,423.30,423.30,423.30,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,15,8,423.59,423.59,423.59,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,18,8,424.46,424.46,424.46,0.00,0.00,0.00,0.00,0.00
varchar_queries_select,21,8,423.12,423.12,423.12,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_insert,3,8,0.00,25387.00,0.00,8010.42,17376.58,0.00,30.99,0.00
varchar_queries_length_insert,6,8,0.00,25482.73,0.00,10033.70,15449.03,0.00,1.33,0.00
varchar_queries_length_insert,9,8,0.67,26845.58,0.00,9550.54,17295.04,0.00,2.33,0.00
varchar_queries_length_insert,12,8,0.67,25806.69,0.00,9178.74,16627.95,0.00,2.00,0.00
varchar_queries_length_insert,15,8,0.67,26084.99,0.00,9808.24,16276.76,0.00,0.67,0.00
varchar_queries_length_insert,18,8,0.67,24528.75,0.00,9685.44,14843.31,0.00,2.66,0.00
varchar_queries_length_insert,21,8,0.00,26231.52,0.00,10264.22,15967.30,0.00,2.67,0.00
varchar_queries_length_select,3,8,369.02,369.02,369.02,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,6,8,374.55,374.55,374.55,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,9,8,375.01,375.01,375.01,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,12,8,375.09,375.09,375.09,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,15,8,373.28,373.28,373.28,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,18,8,374.56,374.56,374.56,0.00,0.00,0.00,0.00,0.00
varchar_queries_length_select,21,8,373.09,373.09,373.09,0.00,0.00,0.00,0.00,0.00
